timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue,wue,region,cloud_provider,cloud_region
2025-12-08T05:05:28,least_to_most_batch_0,013398b4-09ad-4150-90ad-773c9490f3ee,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,268.5155570950001,0.0042358955880945,1.5775233412624668e-05,42.5,68.23743678848342,10.0,0.0031669802198534,0.0050855104572939,0.0007450635847833,0.0089975542619308,0.0,Singapore,SGP,Linux-6.6.105+-x86_64-with-glibc2.35,3.12.12,3.2.0,2,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x Tesla T4,103.8461,1.2939,12.671436309814451,machine,N,1.0,0.0,,,
2025-12-08T05:10:38,least_to_most_batch_1,252bdac2-1f21-4ecb-9221-97f44f44d3aa,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,307.89626546700003,0.0048823419170395,1.5857100149085345e-05,42.5,68.88019294908543,10.0,0.0036313870735131,0.0058849747079759,0.0008543226252111,0.0103706844067003,0.0,Singapore,SGP,Linux-6.6.105+-x86_64-with-glibc2.35,3.12.12,3.2.0,2,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x Tesla T4,103.8461,1.2939,12.671436309814451,machine,N,1.0,0.0,,,
2025-12-08T05:15:24,least_to_most_batch_2,6341b8ee-21ab-4226-b1f2-8fac5518c7af,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,285.1309704539999,0.0045225443810675,1.586128779299732e-05,42.5,69.15587474402497,10.0,0.0033627244256444,0.005452592973182,0.0007911135493333,0.0096064309481597,0.0,Singapore,SGP,Linux-6.6.105+-x86_64-with-glibc2.35,3.12.12,3.2.0,2,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x Tesla T4,103.8461,1.2939,12.671436309814451,machine,N,1.0,0.0,,,
2025-12-08T05:20:12,least_to_most_batch_3,da2b106a-bd05-4d85-ae21-f533d6457a00,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,286.52293747499994,0.00454712444669,1.587001894773888e-05,42.5,69.0959824480203,10.0,0.0033791517148875,0.0054845035542659,0.0007949867096138,0.0096586419787673,0.0,Singapore,SGP,Linux-6.6.105+-x86_64-with-glibc2.35,3.12.12,3.2.0,2,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x Tesla T4,103.8461,1.2939,12.671436309814451,machine,N,1.0,0.0,,,
2025-12-08T05:24:31,least_to_most_batch_4,5347efc7-f663-4512-b8b5-b0713591fdab,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,257.576311823,0.0040831664160867,1.5852259034179387e-05,42.5,68.84666030476185,10.0,0.0030377383497034,0.0049207089365639,0.0007146917524972,0.0086731390387646,0.0,Singapore,SGP,Linux-6.6.105+-x86_64-with-glibc2.35,3.12.12,3.2.0,2,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x Tesla T4,103.8461,1.2939,12.671436309814451,machine,N,1.0,0.0,,,
2025-12-08T05:28:36,least_to_most_batch_5,7cacf1fe-c267-4709-99c9-503f94bc4078,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,242.8352951779998,0.003848177920807,1.584686409768515e-05,42.5,68.88685446028909,10.0,0.0028639288510354,0.004636310097934,0.0006737561205361,0.0081739950695055,0.0,Singapore,SGP,Linux-6.6.105+-x86_64-with-glibc2.35,3.12.12,3.2.0,2,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x Tesla T4,103.8461,1.2939,12.671436309814451,machine,N,1.0,0.0,,,
2025-12-08T05:32:51,least_to_most_batch_6,7e688e88-4d27-4d30-9bd8-9a8cf3b1f386,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,254.1924201450001,0.0040310576413456,1.5858292072777808e-05,42.5,68.88804499231756,10.0,0.0029974702148201,0.00485976361003,0.0007052198774833,0.0085624537023334,0.0,Singapore,SGP,Linux-6.6.105+-x86_64-with-glibc2.35,3.12.12,3.2.0,2,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x Tesla T4,103.8461,1.2939,12.671436309814451,machine,N,1.0,0.0,,,
2025-12-08T05:36:49,least_to_most_batch_7,c814035f-5907-42dd-a5da-72bc1f3cf201,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,235.91617738299965,0.0037383271336177,1.5845997400800414e-05,42.5,68.81996609362153,10.0,0.0027817375585937,0.0045044933258139,0.0006544278344027,0.0079406587188105,0.0,Singapore,SGP,Linux-6.6.105+-x86_64-with-glibc2.35,3.12.12,3.2.0,2,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x Tesla T4,103.8461,1.2939,12.671436309814451,machine,N,1.0,0.0,,,
2025-12-08T05:41:38,least_to_most_batch_8,993bc8fb-e499-4b44-9d08-79cdc2baac8b,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,287.3472042359999,0.0045589281731116,1.5865573445312968e-05,42.5,68.99177936919365,10.0,0.0033885830431826,0.005497930231674,0.0007972012456583,0.0096837145205149,0.0,Singapore,SGP,Linux-6.6.105+-x86_64-with-glibc2.35,3.12.12,3.2.0,2,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x Tesla T4,103.8461,1.2939,12.671436309814451,machine,N,1.0,0.0,,,
2025-12-08T05:45:49,least_to_most_batch_9,90dad077-82cf-4ec9-9ffa-ddef6c5fb3d8,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,249.57935658899987,0.0039577005920709,1.5857483752505807e-05,42.5,68.88650255191017,10.0,0.0029431136556875,0.0047711463169139,0.0006923744897111,0.0084066344623126,0.0,Singapore,SGP,Linux-6.6.105+-x86_64-with-glibc2.35,3.12.12,3.2.0,2,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x Tesla T4,103.8461,1.2939,12.671436309814451,machine,N,1.0,0.0,,,
