task_id,method,input_tokens,output_tokens,total_tokens,batch_index,num_samples
1,self_consistency_cot,1785,1716,3501,0,3
2,self_consistency_cot,1257,1147,2404,0,3
3,self_consistency_cot,1314,1174,2488,0,3
4,self_consistency_cot,1275,2166,3441,0,3
5,self_consistency_cot,1539,882,2421,0,3
6,self_consistency_cot,1350,1227,2577,0,3
7,self_consistency_cot,1245,1174,2419,0,3
8,self_consistency_cot,1245,1142,2387,0,3
9,self_consistency_cot,1350,942,2292,0,3
10,self_consistency_cot,1248,1579,2827,0,3
11,self_consistency_cot,1479,816,2295,1,3
12,self_consistency_cot,1206,1383,2589,1,3
13,self_consistency_cot,1275,1158,2433,1,3
14,self_consistency_cot,1218,1401,2619,1,3
15,self_consistency_cot,1236,1240,2476,1,3
16,self_consistency_cot,1347,1030,2377,1,3
17,self_consistency_cot,1200,626,1826,1,3
18,self_consistency_cot,1995,825,2820,1,3
19,self_consistency_cot,1257,1331,2588,1,3
20,self_consistency_cot,1425,1085,2510,1,3
21,self_consistency_cot,1290,1004,2294,2,3
22,self_consistency_cot,1404,1438,2842,2,3
23,self_consistency_cot,1344,1307,2651,2,3
24,self_consistency_cot,1410,1182,2592,2,3
25,self_consistency_cot,1347,1339,2686,2,3
26,self_consistency_cot,1305,856,2161,2,3
27,self_consistency_cot,1254,864,2118,2,3
28,self_consistency_cot,1353,1164,2517,2,3
29,self_consistency_cot,1446,1232,2678,2,3
30,self_consistency_cot,1542,827,2369,2,3
31,self_consistency_cot,1686,1243,2929,3,3
32,self_consistency_cot,1518,1185,2703,3,3
33,self_consistency_cot,1401,1037,2438,3,3
34,self_consistency_cot,1533,1482,3015,3,3
35,self_consistency_cot,1206,1585,2791,3,3
36,self_consistency_cot,1353,1268,2621,3,3
37,self_consistency_cot,1350,1978,3328,3,3
38,self_consistency_cot,1359,1426,2785,3,3
39,self_consistency_cot,1827,805,2632,3,3
40,self_consistency_cot,1254,1399,2653,3,3
41,self_consistency_cot,1266,1467,2733,4,3
42,self_consistency_cot,1230,1203,2433,4,3
43,self_consistency_cot,1314,856,2170,4,3
44,self_consistency_cot,1302,1207,2509,4,3
45,self_consistency_cot,1455,1007,2462,4,3
46,self_consistency_cot,1239,1406,2645,4,3
47,self_consistency_cot,1446,935,2381,4,3
48,self_consistency_cot,1386,1044,2430,4,3
49,self_consistency_cot,1224,1509,2733,4,3
50,self_consistency_cot,1341,1112,2453,4,3
51,self_consistency_cot,1242,1056,2298,5,3
52,self_consistency_cot,1224,1798,3022,5,3
53,self_consistency_cot,1257,659,1916,5,3
54,self_consistency_cot,1569,1332,2901,5,3
55,self_consistency_cot,1260,1220,2480,5,3
56,self_consistency_cot,1383,1679,3062,5,3
57,self_consistency_cot,1344,1537,2881,5,3
58,self_consistency_cot,1212,1214,2426,5,3
59,self_consistency_cot,1209,958,2167,5,3
60,self_consistency_cot,1596,1213,2809,5,3
61,self_consistency_cot,1455,1174,2629,6,3
62,self_consistency_cot,1179,937,2116,6,3
63,self_consistency_cot,1266,1069,2335,6,3
64,self_consistency_cot,1329,1273,2602,6,3
65,self_consistency_cot,1347,1871,3218,6,3
66,self_consistency_cot,1275,1046,2321,6,3
67,self_consistency_cot,1527,1691,3218,6,3
68,self_consistency_cot,1362,1075,2437,6,3
69,self_consistency_cot,1593,1640,3233,6,3
70,self_consistency_cot,1437,1139,2576,6,3
71,self_consistency_cot,1584,1429,3013,7,3
72,self_consistency_cot,1224,958,2182,7,3
73,self_consistency_cot,1221,1099,2320,7,3
74,self_consistency_cot,1773,1018,2791,7,3
75,self_consistency_cot,1281,1286,2567,7,3
76,self_consistency_cot,1371,1246,2617,7,3
77,self_consistency_cot,1200,1777,2977,7,3
78,self_consistency_cot,1413,1157,2570,7,3
79,self_consistency_cot,1293,948,2241,7,3
80,self_consistency_cot,1233,1106,2339,7,3
81,self_consistency_cot,1338,1335,2673,8,3
82,self_consistency_cot,1230,1632,2862,8,3
83,self_consistency_cot,1443,848,2291,8,3
84,self_consistency_cot,1275,1213,2488,8,3
85,self_consistency_cot,1233,762,1995,8,3
86,self_consistency_cot,1236,1000,2236,8,3
87,self_consistency_cot,1305,1479,2784,8,3
88,self_consistency_cot,1227,1262,2489,8,3
89,self_consistency_cot,1185,568,1753,8,3
90,self_consistency_cot,1281,1232,2513,8,3
91,self_consistency_cot,1245,1045,2290,9,3
92,self_consistency_cot,1329,1017,2346,9,3
93,self_consistency_cot,1296,973,2269,9,3
94,self_consistency_cot,1263,808,2071,9,3
95,self_consistency_cot,1242,999,2241,9,3
96,self_consistency_cot,1251,858,2109,9,3
97,self_consistency_cot,1422,1261,2683,9,3
98,self_consistency_cot,1245,1199,2444,9,3
99,self_consistency_cot,1218,1130,2348,9,3
100,self_consistency_cot,1350,1475,2825,9,3
101,self_consistency_cot,1395,1436,2831,10,3
102,self_consistency_cot,1263,1294,2557,10,3
103,self_consistency_cot,1425,1124,2549,10,3
104,self_consistency_cot,1269,1428,2697,10,3
105,self_consistency_cot,1170,1238,2408,10,3
106,self_consistency_cot,1251,1126,2377,10,3
107,self_consistency_cot,1545,1172,2717,10,3
108,self_consistency_cot,1380,2095,3475,10,3
109,self_consistency_cot,1308,1827,3135,10,3
110,self_consistency_cot,1455,1628,3083,10,3
111,self_consistency_cot,1266,1305,2571,11,3
112,self_consistency_cot,1188,955,2143,11,3
113,self_consistency_cot,1521,1067,2588,11,3
114,self_consistency_cot,1281,1313,2594,11,3
115,self_consistency_cot,1227,949,2176,11,3
