task_id,method,input_tokens,output_tokens,total_tokens,batch_index
1,pot,654,431,1085,0
2,pot,476,447,923,0
3,pot,495,261,756,0
4,pot,488,423,911,0
5,pot,576,324,900,0
6,pot,515,331,846,0
7,pot,472,410,882,0
8,pot,470,249,719,0
9,pot,507,266,773,0
10,pot,471,430,901,0
11,pot,548,414,962,1
12,pot,455,443,898,1
13,pot,482,343,825,1
14,pot,459,315,774,1
15,pot,468,417,885,1
16,pot,520,395,915,1
17,pot,457,227,684,1
18,pot,738,451,1189,1
19,pot,477,242,719,1
20,pot,543,200,743,1
21,pot,493,325,818,2
22,pot,532,365,897,2
23,pot,501,404,905,2
24,pot,533,1024,1557,2
25,pot,503,357,860,2
26,pot,494,322,816,2
27,pot,468,267,735,2
28,pot,527,511,1038,2
29,pot,549,383,932,2
30,pot,589,410,999,2
31,pot,614,413,1027,3
32,pot,576,950,1526,3
33,pot,524,419,943,3
34,pot,564,656,1220,3
35,pot,459,175,634,3
36,pot,515,439,954,3
37,pot,513,552,1065,3
38,pot,510,320,830,3
39,pot,666,1024,1690,3
40,pot,478,351,829,3
41,pot,484,331,815,4
42,pot,463,272,735,4
43,pot,494,380,874,4
44,pot,494,327,821,4
45,pot,550,310,860,4
46,pot,471,278,749,4
47,pot,544,362,906,4
48,pot,523,332,855,4
49,pot,461,354,815,4
50,pot,504,341,845,4
51,pot,475,243,718,5
52,pot,467,242,709,5
53,pot,479,246,725,5
54,pot,580,420,1000,5
55,pot,475,273,748,5
56,pot,510,263,773,5
57,pot,505,375,880,5
58,pot,459,280,739,5
59,pot,459,236,695,5
60,pot,603,426,1029,5
61,pot,540,649,1189,6
62,pot,446,275,721,6
63,pot,480,313,793,6
64,pot,500,676,1176,6
65,pot,518,349,867,6
66,pot,478,223,701,6
67,pot,562,274,836,6
68,pot,511,421,932,6
69,pot,612,428,1040,6
70,pot,534,366,900,6
71,pot,589,608,1197,7
72,pot,466,190,656,7
73,pot,460,641,1101,7
74,pot,658,557,1215,7
75,pot,482,488,970,7
76,pot,517,286,803,7
77,pot,453,309,762,7
78,pot,539,390,929,7
79,pot,484,260,744,7
80,pot,477,234,711,7
81,pot,507,284,791,8
82,pot,468,262,730,8
83,pot,539,291,830,8
84,pot,478,281,759,8
85,pot,471,202,673,8
86,pot,471,247,718,8
87,pot,496,635,1131,8
88,pot,469,341,810,8
89,pot,448,193,641,8
90,pot,480,252,732,8
91,pot,468,328,796,9
92,pot,506,341,847,9
93,pot,487,315,802,9
94,pot,481,439,920,9
95,pot,472,297,769,9
96,pot,471,613,1084,9
97,pot,527,392,919,9
98,pot,475,237,712,9
99,pot,463,812,1275,9
100,pot,514,422,936,9
101,pot,520,666,1186,10
102,pot,485,362,847,10
103,pot,538,315,853,10
104,pot,479,442,921,10
105,pot,439,236,675,10
106,pot,472,383,855,10
107,pot,583,392,975,10
108,pot,525,429,954,10
109,pot,491,304,795,10
110,pot,538,472,1010,10
111,pot,484,417,901,11
112,pot,454,247,701,11
113,pot,560,526,1086,11
114,pot,482,247,729,11
115,pot,462,389,851,11
116,pot,472,300,772,11
