batch_index,method,sum_input_tokens,sum_output_tokens,sum_total_tokens,avg_input_tokens,avg_output_tokens,avg_total_tokens,min_total_tokens,max_total_tokens,tasks_in_batch,batch_start,batch_end
1,react,4426,4800,9226,442.6,480.0,922.6,709,1428,10,1,10
2,react,4436,3944,8380,443.6,394.4,838.0,618,1070,10,11,20
3,react,4455,4564,9019,445.5,456.4,901.9,779,1040,10,21,30
4,react,4719,4584,9303,471.9,458.4,930.3,628,1622,10,31,40
5,react,4291,3935,8226,429.1,393.5,822.6,717,932,10,41,50
6,react,4322,3860,8182,432.2,386.0,818.2,679,1007,10,51,60
7,react,4480,4075,8555,448.0,407.5,855.5,719,1072,10,61,70
8,react,4421,3727,8148,442.1,372.7,814.8,635,1050,10,71,80
9,react,4141,3494,7635,414.1,349.4,763.5,645,947,10,81,90
10,react,4177,3665,7842,417.7,366.5,784.2,682,918,10,91,100
11,react,4377,4764,9141,437.7,476.4,914.1,800,1145,10,101,110
12,react,4194,4752,8946,419.4,475.2,894.6,629,1204,10,111,120
13,react,4738,4295,9033,473.8,429.5,903.3,709,1041,10,121,130
14,react,4416,4321,8737,441.6,432.1,873.7,710,1023,10,131,140
15,react,4572,4258,8830,457.2,425.8,883.0,708,1074,10,141,150
16,react,4611,4385,8996,461.1,438.5,899.6,720,1169,10,151,160
17,react,4353,4172,8525,435.3,417.2,852.5,663,1016,10,161,170
18,react,4352,4061,8413,435.2,406.1,841.3,601,961,10,171,180
19,react,4622,5346,9968,462.2,534.6,996.8,802,1468,10,181,190
20,react,4366,3963,8329,436.6,396.3,832.9,720,961,10,191,200
21,react,4324,3929,8253,432.4,392.9,825.3,702,1000,10,201,210
22,react,4275,3841,8116,427.5,384.1,811.6,684,1006,10,211,220
23,react,4476,4731,9207,447.6,473.1,920.7,706,1496,10,221,230
24,react,4547,4217,8764,454.7,421.7,876.4,669,1065,10,231,240
25,react,4570,4067,8637,457.0,406.7,863.7,655,1120,10,241,250
26,react,4152,4371,8523,415.2,437.1,852.3,757,1094,10,251,260
27,react,4097,3926,8023,409.7,392.6,802.3,604,1100,10,261,270
28,react,4220,4565,8785,422.0,456.5,878.5,649,1176,10,271,280
29,react,4382,3827,8209,438.2,382.7,820.9,655,1192,10,281,290
30,react,4351,3860,8211,435.1,386.0,821.1,669,992,10,291,300
31,react,4483,4697,9180,448.3,469.7,918.0,702,1207,10,301,310
32,react,4594,3957,8551,459.4,395.7,855.1,697,1034,10,311,320
33,react,4529,5194,9723,452.9,519.4,972.3,721,1471,10,321,330
34,react,4256,3890,8146,425.6,389.0,814.6,715,974,10,331,340
35,react,4578,4492,9070,457.8,449.2,907.0,732,1454,10,341,350
36,react,4251,3748,7999,425.1,374.8,799.9,691,911,10,351,360
37,react,4393,4410,8803,439.3,441.0,880.3,719,1122,10,361,370
38,react,4353,3913,8266,435.3,391.3,826.6,713,1002,10,371,380
39,react,4642,4220,8862,464.2,422.0,886.2,736,1010,10,381,390
40,react,4402,4115,8517,440.2,411.5,851.7,729,1002,10,391,400
41,react,4588,4326,8914,458.8,432.6,891.4,628,1099,10,401,410
42,react,4352,4188,8540,435.2,418.8,854.0,718,960,10,411,420
43,react,4528,4185,8713,452.8,418.5,871.3,769,1071,10,421,430
44,react,4207,4339,8546,420.7,433.9,854.6,694,1161,10,431,440
45,react,4305,4114,8419,430.5,411.4,841.9,636,1007,10,441,450
46,react,4275,3571,7846,427.5,357.1,784.6,684,944,10,451,460
47,react,4836,4241,9077,483.6,424.1,907.7,760,1078,10,461,470
48,react,4159,4301,8460,415.9,430.1,846.0,686,1097,10,471,480
49,react,4598,4723,9321,459.8,472.3,932.1,698,1204,10,481,490
50,react,4657,4703,9360,465.7,470.3,936.0,617,1460,10,491,500
51,react,4585,3637,8222,458.5,363.7,822.2,666,947,10,501,510
52,react,4615,4168,8783,461.5,416.8,878.3,648,1100,10,511,520
53,react,4737,4166,8903,473.7,416.6,890.3,745,1062,10,521,530
54,react,4377,4307,8684,437.7,430.7,868.4,679,1053,10,531,540
55,react,4660,4406,9066,466.0,440.6,906.6,675,1470,10,541,550
56,react,4253,4182,8435,425.3,418.2,843.5,697,1101,10,551,560
57,react,4123,4226,8349,412.3,422.6,834.9,694,993,10,561,570
58,react,4510,4771,9281,451.0,477.1,928.1,757,1437,10,571,580
59,react,4141,4419,8560,414.1,441.9,856.0,696,1064,10,581,590
60,react,4512,4680,9192,451.2,468.0,919.2,685,1431,10,591,600
61,react,4454,4117,8571,445.4,411.7,857.1,747,975,10,601,610
62,react,4260,4777,9037,426.0,477.7,903.7,791,1160,10,611,620
63,react,4561,4345,8906,456.1,434.5,890.6,591,1085,10,621,630
64,react,4286,4220,8506,428.6,422.0,850.6,764,1005,10,631,640
65,react,4254,4270,8524,425.4,427.0,852.4,712,1018,10,641,650
66,react,4332,3869,8201,433.2,386.9,820.1,695,992,10,651,660
67,react,4535,4718,9253,453.5,471.8,925.3,658,1482,10,661,670
68,react,4222,4041,8263,422.2,404.1,826.3,740,986,10,671,680
69,react,4524,4371,8895,452.4,437.1,889.5,760,1000,10,681,690
70,react,4250,4406,8656,425.0,440.6,865.6,725,1037,10,691,700
71,react,4455,4329,8784,445.5,432.9,878.4,646,1002,10,701,710
72,react,4424,4396,8820,442.4,439.6,882.0,618,1328,10,711,720
73,react,4286,4530,8816,428.6,453.0,881.6,714,1185,10,721,730
74,react,4337,3778,8115,433.7,377.8,811.5,641,1096,10,731,740
75,react,4363,4274,8637,436.3,427.4,863.7,644,1453,10,741,750
76,react,4484,4305,8789,448.4,430.5,878.9,737,1033,10,751,760
77,react,4348,3663,8011,434.8,366.3,801.1,638,980,10,761,770
78,react,4514,4286,8800,451.4,428.6,880.0,771,1009,10,771,780
79,react,4450,4300,8750,445.0,430.0,875.0,661,1230,10,781,790
80,react,4189,4309,8498,418.9,430.9,849.8,704,1036,10,791,800
81,react,4234,4072,8306,423.4,407.2,830.6,764,942,10,801,810
82,react,4286,4270,8556,428.6,427.0,855.6,590,1162,10,811,820
83,react,4481,4335,8816,448.1,433.5,881.6,775,960,10,821,830
84,react,4704,4638,9342,470.4,463.8,934.2,713,1438,10,831,840
85,react,4605,4394,8999,460.5,439.4,899.9,714,1053,10,841,850
86,react,4450,4018,8468,445.0,401.8,846.8,716,1084,10,851,860
87,react,4397,4622,9019,439.7,462.2,901.9,709,1103,10,861,870
88,react,4265,3731,7996,426.5,373.1,799.6,713,914,10,871,880
89,react,4328,4505,8833,432.8,450.5,883.3,728,1107,10,881,890
90,react,4272,4468,8740,427.2,446.8,874.0,677,985,10,891,900
91,react,4316,4004,8320,431.6,400.4,832.0,626,998,10,901,910
92,react,4556,4164,8720,455.6,416.4,872.0,660,1092,10,911,920
93,react,4525,3830,8355,452.5,383.0,835.5,638,912,10,921,930
94,react,4621,4313,8934,462.1,431.3,893.4,647,1184,10,931,940
95,react,4389,4591,8980,438.9,459.1,898.0,719,1293,10,941,950
96,react,4416,4284,8700,441.6,428.4,870.0,729,1031,10,951,960
97,react,4408,4493,8901,440.8,449.3,890.1,686,1068,10,961,970
98,react,1885,1457,3342,471.25,364.25,835.5,703,1043,4,971,974
