batch_index,method,sum_input_tokens,sum_output_tokens,sum_total_tokens,avg_input_tokens,avg_output_tokens,avg_total_tokens,min_total_tokens,max_total_tokens,tasks_in_batch,batch_start,batch_end
1,least_to_most,5162,3541,8703,516.2,354.1,870.3,721,1102,10,1,10
2,least_to_most,5195,3572,8767,519.5,357.2,876.7,655,1082,10,11,20
3,least_to_most,5207,4541,9748,520.7,454.1,974.8,827,1259,10,21,30
4,least_to_most,5455,4091,9546,545.5,409.1,954.6,658,1172,10,31,40
5,least_to_most,5026,4184,9210,502.6,418.4,921.0,763,1388,10,41,50
6,least_to_most,5060,3686,8746,506.0,368.6,874.6,697,1121,10,51,60
7,least_to_most,5235,3711,8946,523.5,371.1,894.6,740,1069,10,61,70
8,least_to_most,5165,3428,8593,516.5,342.8,859.3,640,1055,10,71,80
9,least_to_most,4879,3583,8462,487.9,358.3,846.2,663,1119,10,81,90
10,least_to_most,4916,4647,9563,491.6,464.7,956.3,773,1522,10,91,100
11,least_to_most,5116,4757,9873,511.6,475.7,987.3,723,1227,10,101,110
12,least_to_most,4922,3728,8650,492.2,372.8,865.0,659,993,10,111,120
13,least_to_most,5501,3982,9483,550.1,398.2,948.3,799,1294,10,121,130
14,least_to_most,5163,3667,8830,516.3,366.7,883.0,650,1131,10,131,140
15,least_to_most,5346,4351,9697,534.6,435.1,969.7,775,1128,10,141,150
16,least_to_most,5357,3711,9068,535.7,371.1,906.8,797,1094,10,151,160
17,least_to_most,5116,4109,9225,511.6,410.9,922.5,663,1538,10,161,170
18,least_to_most,5099,4397,9496,509.9,439.7,949.6,679,1307,10,171,180
19,least_to_most,5379,4264,9643,537.9,426.4,964.3,775,1323,10,181,190
20,least_to_most,5093,4327,9420,509.3,432.7,942.0,786,1363,10,191,200
21,least_to_most,5065,4428,9493,506.5,442.8,949.3,732,1367,10,201,210
22,least_to_most,5003,3651,8654,500.3,365.1,865.4,765,1058,10,211,220
23,least_to_most,5209,4765,9974,520.9,476.5,997.4,787,1407,10,221,230
24,least_to_most,5320,3620,8940,532.0,362.0,894.0,753,1161,10,231,240
25,least_to_most,5352,3834,9186,535.2,383.4,918.6,673,1226,10,241,250
26,least_to_most,4886,4351,9237,488.6,435.1,923.7,769,1219,10,251,260
27,least_to_most,4828,3347,8175,482.8,334.7,817.5,670,986,10,261,270
28,least_to_most,4956,4111,9067,495.6,411.1,906.7,809,1006,10,271,280
29,least_to_most,5124,3752,8876,512.4,375.2,887.6,698,1153,10,281,290
