task_id,method,input_tokens,output_tokens,total_tokens,batch_index,num_samples
1,self_consistency_cot,1566,1049,2615,0,3
2,self_consistency_cot,1104,1078,2182,0,3
3,self_consistency_cot,1149,1507,2656,0,3
4,self_consistency_cot,1107,1181,2288,0,3
5,self_consistency_cot,1371,568,1939,0,3
6,self_consistency_cot,1164,758,1922,0,3
7,self_consistency_cot,1086,1446,2532,0,3
8,self_consistency_cot,1071,734,1805,0,3
9,self_consistency_cot,1194,1909,3103,0,3
10,self_consistency_cot,1086,1083,2169,0,3
11,self_consistency_cot,1299,1759,3058,1,3
12,self_consistency_cot,1053,972,2025,1,3
13,self_consistency_cot,1104,1713,2817,1,3
14,self_consistency_cot,1074,659,1733,1,3
15,self_consistency_cot,1077,834,1911,1,3
16,self_consistency_cot,1161,1541,2702,1,3
17,self_consistency_cot,1053,436,1489,1,3
18,self_consistency_cot,1593,1611,3204,1,3
19,self_consistency_cot,1077,1819,2896,1,3
20,self_consistency_cot,1275,540,1815,1,3
21,self_consistency_cot,1110,724,1834,2,3
22,self_consistency_cot,1176,1173,2349,2,3
23,self_consistency_cot,1167,1118,2285,2,3
24,self_consistency_cot,1236,646,1882,2,3
25,self_consistency_cot,1170,919,2089,2,3
26,self_consistency_cot,1134,1067,2201,2,3
27,self_consistency_cot,1104,1074,2178,2,3
28,self_consistency_cot,1191,839,2030,2,3
29,self_consistency_cot,1257,1868,3125,2,3
30,self_consistency_cot,1332,809,2141,2,3
31,self_consistency_cot,1428,1075,2503,3,3
32,self_consistency_cot,1326,1604,2930,3,3
33,self_consistency_cot,1227,684,1911,3,3
34,self_consistency_cot,1353,1806,3159,3,3
35,self_consistency_cot,1050,514,1564,3,3
36,self_consistency_cot,1179,912,2091,3,3
37,self_consistency_cot,1176,917,2093,3,3
38,self_consistency_cot,1185,952,2137,3,3
39,self_consistency_cot,1572,846,2418,3,3
40,self_consistency_cot,1086,1884,2970,3,3
41,self_consistency_cot,1086,873,1959,4,3
42,self_consistency_cot,1083,924,2007,4,3
43,self_consistency_cot,1143,612,1755,4,3
44,self_consistency_cot,1137,678,1815,4,3
45,self_consistency_cot,1269,1531,2800,4,3
46,self_consistency_cot,1086,744,1830,4,3
47,self_consistency_cot,1272,848,2120,4,3
48,self_consistency_cot,1209,1569,2778,4,3
49,self_consistency_cot,1068,955,2023,4,3
50,self_consistency_cot,1143,1000,2143,4,3
51,self_consistency_cot,1086,555,1641,5,3
52,self_consistency_cot,1062,662,1724,5,3
53,self_consistency_cot,1110,566,1676,5,3
54,self_consistency_cot,1341,872,2213,5,3
55,self_consistency_cot,1086,782,1868,5,3
56,self_consistency_cot,1203,374,1577,5,3
57,self_consistency_cot,1161,1083,2244,5,3
58,self_consistency_cot,1071,726,1797,5,3
59,self_consistency_cot,1065,521,1586,5,3
60,self_consistency_cot,1374,801,2175,5,3
61,self_consistency_cot,1275,1518,2793,6,3
62,self_consistency_cot,1029,709,1738,6,3
63,self_consistency_cot,1101,1422,2523,6,3
64,self_consistency_cot,1155,826,1981,6,3
65,self_consistency_cot,1155,727,1882,6,3
66,self_consistency_cot,1116,725,1841,6,3
67,self_consistency_cot,1341,828,2169,6,3
68,self_consistency_cot,1194,814,2008,6,3
69,self_consistency_cot,1350,1367,2717,6,3
70,self_consistency_cot,1251,837,2088,6,3
71,self_consistency_cot,1356,1284,2640,7,3
72,self_consistency_cot,1086,520,1606,7,3
73,self_consistency_cot,1068,988,2056,7,3
74,self_consistency_cot,1506,1090,2596,7,3
75,self_consistency_cot,1110,1050,2160,7,3
76,self_consistency_cot,1215,672,1887,7,3
77,self_consistency_cot,1059,592,1651,7,3
78,self_consistency_cot,1257,1104,2361,7,3
79,self_consistency_cot,1125,524,1649,7,3
80,self_consistency_cot,1098,587,1685,7,3
81,self_consistency_cot,1161,915,2076,8,3
82,self_consistency_cot,1074,531,1605,8,3
83,self_consistency_cot,1257,889,2146,8,3
84,self_consistency_cot,1119,460,1579,8,3
85,self_consistency_cot,1077,501,1578,8,3
86,self_consistency_cot,1083,695,1778,8,3
87,self_consistency_cot,1137,1569,2706,8,3
88,self_consistency_cot,1068,923,1991,8,3
89,self_consistency_cot,1038,486,1524,8,3
90,self_consistency_cot,1110,874,1984,8,3
91,self_consistency_cot,1098,1060,2158,9,3
92,self_consistency_cot,1173,737,1910,9,3
93,self_consistency_cot,1131,826,1957,9,3
94,self_consistency_cot,1098,798,1896,9,3
95,self_consistency_cot,1074,918,1992,9,3
96,self_consistency_cot,1104,875,1979,9,3
97,self_consistency_cot,1233,1890,3123,9,3
98,self_consistency_cot,1089,864,1953,9,3
99,self_consistency_cot,1059,960,2019,9,3
100,self_consistency_cot,1158,664,1822,9,3
101,self_consistency_cot,1203,1068,2271,10,3
102,self_consistency_cot,1092,702,1794,10,3
103,self_consistency_cot,1233,611,1844,10,3
104,self_consistency_cot,1104,1104,2208,10,3
105,self_consistency_cot,1023,556,1579,10,3
106,self_consistency_cot,1083,777,1860,10,3
107,self_consistency_cot,1344,736,2080,10,3
108,self_consistency_cot,1170,1511,2681,10,3
109,self_consistency_cot,1152,1653,2805,10,3
110,self_consistency_cot,1224,1263,2487,10,3
111,self_consistency_cot,1089,1004,2093,11,3
112,self_consistency_cot,1047,628,1675,11,3
113,self_consistency_cot,1278,1048,2326,11,3
114,self_consistency_cot,1110,1655,2765,11,3
115,self_consistency_cot,1077,774,1851,11,3
116,self_consistency_cot,1071,842,1913,11,3
117,self_consistency_cot,1206,1895,3101,11,3
118,self_consistency_cot,1065,728,1793,11,3
119,self_consistency_cot,1095,1039,2134,11,3
120,self_consistency_cot,1101,642,1743,11,3
121,self_consistency_cot,1278,1256,2534,12,3
122,self_consistency_cot,1365,648,2013,12,3
123,self_consistency_cot,1488,902,2390,12,3
124,self_consistency_cot,1086,674,1760,12,3
125,self_consistency_cot,1251,750,2001,12,3
126,self_consistency_cot,1146,658,1804,12,3
127,self_consistency_cot,1188,694,1882,12,3
128,self_consistency_cot,1131,1168,2299,12,3
129,self_consistency_cot,1458,1124,2582,12,3
130,self_consistency_cot,1158,930,2088,12,3
131,self_consistency_cot,1275,865,2140,13,3
132,self_consistency_cot,1062,702,1764,13,3
133,self_consistency_cot,1122,927,2049,13,3
134,self_consistency_cot,1230,1116,2346,13,3
135,self_consistency_cot,1053,623,1676,13,3
136,self_consistency_cot,1437,694,2131,13,3
137,self_consistency_cot,1173,754,1927,13,3
138,self_consistency_cot,1143,1500,2643,13,3
139,self_consistency_cot,1086,579,1665,13,3
140,self_consistency_cot,1158,1224,2382,13,3
141,self_consistency_cot,1248,995,2243,14,3
142,self_consistency_cot,1122,1026,2148,14,3
143,self_consistency_cot,1077,669,1746,14,3
144,self_consistency_cot,1164,727,1891,14,3
145,self_consistency_cot,1227,968,2195,14,3
146,self_consistency_cot,1074,596,1670,14,3
147,self_consistency_cot,1314,1145,2459,14,3
148,self_consistency_cot,1350,1114,2464,14,3
149,self_consistency_cot,1347,980,2327,14,3
150,self_consistency_cot,1176,884,2060,14,3
151,self_consistency_cot,1143,736,1879,15,3
152,self_consistency_cot,1458,1139,2597,15,3
153,self_consistency_cot,1149,728,1877,15,3
154,self_consistency_cot,1068,1023,2091,15,3
155,self_consistency_cot,1245,1304,2549,15,3
156,self_consistency_cot,1101,783,1884,15,3
157,self_consistency_cot,1095,869,1964,15,3
158,self_consistency_cot,1233,1028,2261,15,3
159,self_consistency_cot,1587,912,2499,15,3
160,self_consistency_cot,1248,2084,3332,15,3
161,self_consistency_cot,1089,1006,2095,16,3
162,self_consistency_cot,1092,665,1757,16,3
163,self_consistency_cot,1110,640,1750,16,3
164,self_consistency_cot,1275,1170,2445,16,3
165,self_consistency_cot,1212,978,2190,16,3
166,self_consistency_cot,1209,944,2153,16,3
167,self_consistency_cot,1218,700,1918,16,3
168,self_consistency_cot,1095,1531,2626,16,3
169,self_consistency_cot,1197,797,1994,16,3
170,self_consistency_cot,1173,955,2128,16,3
171,self_consistency_cot,1071,715,1786,17,3
172,self_consistency_cot,1185,1523,2708,17,3
173,self_consistency_cot,1095,1521,2616,17,3
174,self_consistency_cot,1098,1128,2226,17,3
175,self_consistency_cot,1266,856,2122,17,3
176,self_consistency_cot,1050,684,1734,17,3
177,self_consistency_cot,1092,544,1636,17,3
178,self_consistency_cot,1125,883,2008,17,3
179,self_consistency_cot,1392,2222,3614,17,3
180,self_consistency_cot,1191,1144,2335,17,3
181,self_consistency_cot,1431,1821,3252,18,3
182,self_consistency_cot,1239,1116,2355,18,3
183,self_consistency_cot,1197,1128,2325,18,3
184,self_consistency_cot,1077,877,1954,18,3
185,self_consistency_cot,1164,728,1892,18,3
186,self_consistency_cot,1125,748,1873,18,3
187,self_consistency_cot,1323,1195,2518,18,3
188,self_consistency_cot,1191,1204,2395,18,3
189,self_consistency_cot,1422,1503,2925,18,3
190,self_consistency_cot,1143,983,2126,18,3
191,self_consistency_cot,1158,582,1740,19,3
192,self_consistency_cot,1173,544,1717,19,3
193,self_consistency_cot,1062,788,1850,19,3
194,self_consistency_cot,1275,798,2073,19,3
195,self_consistency_cot,1287,1295,2582,19,3
196,self_consistency_cot,1089,1177,2266,19,3
197,self_consistency_cot,1152,800,1952,19,3
198,self_consistency_cot,1173,634,1807,19,3
199,self_consistency_cot,1206,668,1874,19,3
200,self_consistency_cot,1119,877,1996,19,3
201,self_consistency_cot,1047,651,1698,20,3
202,self_consistency_cot,1158,744,1902,20,3
203,self_consistency_cot,1185,938,2123,20,3
204,self_consistency_cot,1128,1455,2583,20,3
205,self_consistency_cot,1086,1516,2602,20,3
206,self_consistency_cot,1107,1066,2173,20,3
207,self_consistency_cot,1437,1118,2555,20,3
208,self_consistency_cot,1137,622,1759,20,3
209,self_consistency_cot,1095,1056,2151,20,3
210,self_consistency_cot,1134,2257,3391,20,3
211,self_consistency_cot,1107,489,1596,21,3
212,self_consistency_cot,1158,599,1757,21,3
213,self_consistency_cot,1134,705,1839,21,3
214,self_consistency_cot,1071,702,1773,21,3
215,self_consistency_cot,1188,872,2060,21,3
216,self_consistency_cot,1185,905,2090,21,3
217,self_consistency_cot,1149,673,1822,21,3
218,self_consistency_cot,1146,600,1746,21,3
219,self_consistency_cot,1218,946,2164,21,3
220,self_consistency_cot,1083,932,2015,21,3
221,self_consistency_cot,1092,781,1873,22,3
222,self_consistency_cot,1128,1621,2749,22,3
223,self_consistency_cot,1506,1404,2910,22,3
224,self_consistency_cot,1125,643,1768,22,3
225,self_consistency_cot,1266,1199,2465,22,3
226,self_consistency_cot,1128,565,1693,22,3
227,self_consistency_cot,1185,783,1968,22,3
228,self_consistency_cot,1263,1068,2331,22,3
229,self_consistency_cot,1212,1174,2386,22,3
230,self_consistency_cot,1062,547,1609,22,3
231,self_consistency_cot,1647,977,2624,23,3
232,self_consistency_cot,1080,1105,2185,23,3
233,self_consistency_cot,1116,665,1781,23,3
234,self_consistency_cot,1053,444,1497,23,3
235,self_consistency_cot,1218,730,1948,23,3
236,self_consistency_cot,1308,875,2183,23,3
237,self_consistency_cot,1122,1200,2322,23,3
238,self_consistency_cot,1104,495,1599,23,3
239,self_consistency_cot,1407,915,2322,23,3
240,self_consistency_cot,1077,1383,2460,23,3
241,self_consistency_cot,1134,1007,2141,24,3
242,self_consistency_cot,1092,539,1631,24,3
243,self_consistency_cot,1182,1571,2753,24,3
244,self_consistency_cot,1119,601,1720,24,3
245,self_consistency_cot,1626,1620,3246,24,3
246,self_consistency_cot,1251,782,2033,24,3
247,self_consistency_cot,1509,1507,3016,24,3
248,self_consistency_cot,1107,747,1854,24,3
249,self_consistency_cot,1092,854,1946,24,3
250,self_consistency_cot,1125,921,2046,24,3
251,self_consistency_cot,1077,783,1860,25,3
252,self_consistency_cot,1065,733,1798,25,3
253,self_consistency_cot,1113,880,1993,25,3
254,self_consistency_cot,1074,1210,2284,25,3
255,self_consistency_cot,1077,1355,2432,25,3
256,self_consistency_cot,1209,611,1820,25,3
257,self_consistency_cot,1068,635,1703,25,3
258,self_consistency_cot,1098,1242,2340,25,3
259,self_consistency_cot,1179,723,1902,25,3
260,self_consistency_cot,1140,504,1644,25,3
261,self_consistency_cot,1134,1047,2181,26,3
262,self_consistency_cot,1068,960,2028,26,3
263,self_consistency_cot,1065,1384,2449,26,3
264,self_consistency_cot,1170,532,1702,26,3
265,self_consistency_cot,1065,757,1822,26,3
266,self_consistency_cot,1083,447,1530,26,3
267,self_consistency_cot,1065,494,1559,26,3
268,self_consistency_cot,1074,505,1579,26,3
269,self_consistency_cot,1041,960,2001,26,3
270,self_consistency_cot,1197,1012,2209,26,3
271,self_consistency_cot,1176,688,1864,27,3
272,self_consistency_cot,1074,975,2049,27,3
273,self_consistency_cot,1134,832,1966,27,3
274,self_consistency_cot,1107,931,2038,27,3
275,self_consistency_cot,1293,909,2202,27,3
276,self_consistency_cot,1071,665,1736,27,3
277,self_consistency_cot,1086,1165,2251,27,3
278,self_consistency_cot,1107,1087,2194,27,3
279,self_consistency_cot,1074,557,1631,27,3
280,self_consistency_cot,1185,1360,2545,27,3
281,self_consistency_cot,1077,803,1880,28,3
282,self_consistency_cot,1098,854,1952,28,3
283,self_consistency_cot,1212,772,1984,28,3
284,self_consistency_cot,1071,1147,2218,28,3
285,self_consistency_cot,1152,1468,2620,28,3
286,self_consistency_cot,1338,1306,2644,28,3
287,self_consistency_cot,1080,546,1626,28,3
288,self_consistency_cot,1161,1192,2353,28,3
289,self_consistency_cot,1341,799,2140,28,3
290,self_consistency_cot,1134,759,1893,28,3
291,self_consistency_cot,1305,756,2061,29,3
292,self_consistency_cot,1047,612,1659,29,3
293,self_consistency_cot,1092,716,1808,29,3
294,self_consistency_cot,1086,1024,2110,29,3
295,self_consistency_cot,1128,2273,3401,29,3
296,self_consistency_cot,1188,2070,3258,29,3
297,self_consistency_cot,1272,985,2257,29,3
298,self_consistency_cot,1110,1531,2641,29,3
299,self_consistency_cot,1149,876,2025,29,3
300,self_consistency_cot,1191,563,1754,29,3
301,self_consistency_cot,1110,1159,2269,30,3
302,self_consistency_cot,1239,893,2132,30,3
303,self_consistency_cot,1170,1601,2771,30,3
304,self_consistency_cot,1275,1847,3122,30,3
305,self_consistency_cot,1128,1112,2240,30,3
306,self_consistency_cot,1602,2126,3728,30,3
307,self_consistency_cot,1143,1509,2652,30,3
308,self_consistency_cot,1113,1261,2374,30,3
309,self_consistency_cot,1068,623,1691,30,3
310,self_consistency_cot,1089,1053,2142,30,3
311,self_consistency_cot,1266,2734,4000,31,3
312,self_consistency_cot,1107,690,1797,31,3
313,self_consistency_cot,1086,710,1796,31,3
314,self_consistency_cot,1293,1159,2452,31,3
315,self_consistency_cot,1575,2004,3579,31,3
316,self_consistency_cot,1311,1432,2743,31,3
317,self_consistency_cot,1182,1932,3114,31,3
318,self_consistency_cot,1221,748,1969,31,3
319,self_consistency_cot,1083,1227,2310,31,3
320,self_consistency_cot,1212,485,1697,31,3
321,self_consistency_cot,1191,616,1807,32,3
322,self_consistency_cot,1119,1059,2178,32,3
323,self_consistency_cot,1683,1339,3022,32,3
324,self_consistency_cot,1200,1059,2259,32,3
325,self_consistency_cot,1239,1792,3031,32,3
326,self_consistency_cot,1179,1679,2858,32,3
327,self_consistency_cot,1122,842,1964,32,3
328,self_consistency_cot,1077,1730,2807,32,3
329,self_consistency_cot,1116,768,1884,32,3
330,self_consistency_cot,1080,1038,2118,32,3
331,self_consistency_cot,1182,1523,2705,33,3
332,self_consistency_cot,1155,1600,2755,33,3
333,self_consistency_cot,1068,880,1948,33,3
334,self_consistency_cot,1149,938,2087,33,3
335,self_consistency_cot,1104,996,2100,33,3
336,self_consistency_cot,1089,377,1466,33,3
337,self_consistency_cot,1140,741,1881,33,3
338,self_consistency_cot,1329,1845,3174,33,3
339,self_consistency_cot,1089,558,1647,33,3
340,self_consistency_cot,1095,1048,2143,33,3
341,self_consistency_cot,1059,777,1836,34,3
342,self_consistency_cot,1716,861,2577,34,3
343,self_consistency_cot,1155,737,1892,34,3
344,self_consistency_cot,1107,842,1949,34,3
345,self_consistency_cot,1125,1685,2810,34,3
346,self_consistency_cot,1182,675,1857,34,3
347,self_consistency_cot,1173,667,1840,34,3
348,self_consistency_cot,1326,1390,2716,34,3
349,self_consistency_cot,1161,601,1762,34,3
350,self_consistency_cot,1266,1420,2686,34,3
351,self_consistency_cot,1317,1373,2690,35,3
352,self_consistency_cot,1140,860,2000,35,3
353,self_consistency_cot,1080,1236,2316,35,3
354,self_consistency_cot,1074,789,1863,35,3
355,self_consistency_cot,1299,539,1838,35,3
356,self_consistency_cot,1056,592,1648,35,3
357,self_consistency_cot,1083,1103,2186,35,3
358,self_consistency_cot,1107,1005,2112,35,3
359,self_consistency_cot,1116,790,1906,35,3
360,self_consistency_cot,1083,513,1596,35,3
361,self_consistency_cot,1074,1025,2099,36,3
362,self_consistency_cot,1182,883,2065,36,3
363,self_consistency_cot,1104,1040,2144,36,3
364,self_consistency_cot,1380,907,2287,36,3
365,self_consistency_cot,1110,715,1825,36,3
366,self_consistency_cot,1089,870,1959,36,3
367,self_consistency_cot,1443,1376,2819,36,3
368,self_consistency_cot,1077,775,1852,36,3
369,self_consistency_cot,1104,784,1888,36,3
370,self_consistency_cot,1086,945,2031,36,3
371,self_consistency_cot,1239,1317,2556,37,3
372,self_consistency_cot,1131,967,2098,37,3
373,self_consistency_cot,1068,871,1939,37,3
374,self_consistency_cot,1317,2259,3576,37,3
375,self_consistency_cot,1116,1131,2247,37,3
376,self_consistency_cot,1149,1029,2178,37,3
377,self_consistency_cot,1161,1663,2824,37,3
378,self_consistency_cot,1080,997,2077,37,3
379,self_consistency_cot,1110,772,1882,37,3
380,self_consistency_cot,1179,704,1883,37,3
381,self_consistency_cot,1113,1409,2522,38,3
382,self_consistency_cot,1437,1861,3298,38,3
383,self_consistency_cot,1242,1486,2728,38,3
384,self_consistency_cot,1248,1108,2356,38,3
385,self_consistency_cot,1212,588,1800,38,3
386,self_consistency_cot,1323,490,1813,38,3
387,self_consistency_cot,1335,1164,2499,38,3
388,self_consistency_cot,1206,830,2036,38,3
389,self_consistency_cot,1158,458,1616,38,3
390,self_consistency_cot,1068,1005,2073,38,3
391,self_consistency_cot,1146,1044,2190,39,3
392,self_consistency_cot,1275,595,1870,39,3
393,self_consistency_cot,1146,1134,2280,39,3
394,self_consistency_cot,1155,892,2047,39,3
395,self_consistency_cot,1257,725,1982,39,3
396,self_consistency_cot,1143,696,1839,39,3
397,self_consistency_cot,1230,720,1950,39,3
398,self_consistency_cot,1083,927,2010,39,3
399,self_consistency_cot,1134,903,2037,39,3
400,self_consistency_cot,1080,841,1921,39,3
401,self_consistency_cot,1182,761,1943,40,3
402,self_consistency_cot,1275,830,2105,40,3
403,self_consistency_cot,1371,808,2179,40,3
404,self_consistency_cot,1068,594,1662,40,3
405,self_consistency_cot,1107,958,2065,40,3
406,self_consistency_cot,1278,603,1881,40,3
407,self_consistency_cot,1290,837,2127,40,3
408,self_consistency_cot,1431,1388,2819,40,3
409,self_consistency_cot,1101,939,2040,40,3
410,self_consistency_cot,1083,818,1901,40,3
411,self_consistency_cot,1089,1035,2124,41,3
412,self_consistency_cot,1089,800,1889,41,3
413,self_consistency_cot,1083,1129,2212,41,3
414,self_consistency_cot,1248,986,2234,41,3
415,self_consistency_cot,1308,998,2306,41,3
416,self_consistency_cot,1251,923,2174,41,3
417,self_consistency_cot,1185,1120,2305,41,3
418,self_consistency_cot,1074,714,1788,41,3
419,self_consistency_cot,1101,784,1885,41,3
420,self_consistency_cot,1137,540,1677,41,3
421,self_consistency_cot,1146,1370,2516,42,3
422,self_consistency_cot,1170,668,1838,42,3
423,self_consistency_cot,1710,1437,3147,42,3
424,self_consistency_cot,1095,730,1825,42,3
425,self_consistency_cot,1149,1776,2925,42,3
426,self_consistency_cot,1086,904,1990,42,3
427,self_consistency_cot,1149,825,1974,42,3
428,self_consistency_cot,1305,1075,2380,42,3
429,self_consistency_cot,1134,943,2077,42,3
430,self_consistency_cot,1140,734,1874,42,3
431,self_consistency_cot,1128,877,2005,43,3
432,self_consistency_cot,1107,764,1871,43,3
433,self_consistency_cot,1158,953,2111,43,3
434,self_consistency_cot,1137,633,1770,43,3
435,self_consistency_cot,1050,607,1657,43,3
436,self_consistency_cot,1086,648,1734,43,3
437,self_consistency_cot,1158,741,1899,43,3
438,self_consistency_cot,1254,971,2225,43,3
