batch_index,method,sum_input_tokens,sum_output_tokens,sum_total_tokens,avg_input_tokens,avg_output_tokens,avg_total_tokens,min_total_tokens,max_total_tokens,tasks_in_batch,batch_start,batch_end
1,zero_shot,1950,3759,5709,195.0,375.9,570.9,422,989,10,1,10
2,zero_shot,1957,4270,6227,195.7,427.0,622.7,402,1211,10,11,20
3,zero_shot,1967,3583,5550,196.7,358.3,555.0,459,640,10,21,30
4,zero_shot,2236,4432,6668,223.6,443.2,666.8,488,1374,10,31,40
5,zero_shot,1809,4183,5992,180.9,418.3,599.2,438,1198,10,41,50
6,zero_shot,1843,3302,5145,184.3,330.2,514.5,415,640,10,51,60
7,zero_shot,2004,3800,5804,200.4,380.0,580.4,426,729,10,61,70
8,zero_shot,1942,4584,6526,194.2,458.4,652.6,403,1176,10,71,80
9,zero_shot,1665,3898,5563,166.5,389.8,556.3,425,818,10,81,90
10,zero_shot,1700,4691,6391,170.0,469.1,639.1,494,1210,10,91,100
11,zero_shot,1889,3321,5210,188.9,332.1,521.0,396,650,10,101,110
12,zero_shot,1706,3879,5585,170.6,387.9,558.5,427,804,10,111,120
13,zero_shot,2254,4645,6899,225.4,464.5,689.9,459,1249,10,121,130
14,zero_shot,1918,3602,5520,191.8,360.2,552.0,427,716,10,131,140
15,zero_shot,2072,3580,5652,207.2,358.0,565.2,457,694,10,141,150
16,zero_shot,2125,4186,6311,212.5,418.6,631.1,482,807,10,151,160
17,zero_shot,1864,4019,5883,186.4,401.9,588.3,425,1224,10,161,170
18,zero_shot,1860,3966,5826,186.0,396.6,582.6,339,1226,10,171,180
19,zero_shot,2130,4494,6624,213.0,449.4,662.4,461,1220,10,181,190
20,zero_shot,1877,4198,6075,187.7,419.8,607.5,442,1220,10,191,200
21,zero_shot,1833,3732,5565,183.3,373.2,556.5,402,675,10,201,210
22,zero_shot,1782,4260,6042,178.2,426.0,604.2,463,1237,10,211,220
23,zero_shot,1977,4333,6310,197.7,433.3,631.0,364,1248,10,221,230
24,zero_shot,2047,3818,5865,204.7,381.8,586.5,321,817,10,231,240
25,zero_shot,2080,3202,5282,208.0,320.2,528.2,383,832,10,241,250
26,zero_shot,1669,3261,4930,166.9,326.1,493.0,393,615,10,251,260
27,zero_shot,1606,3585,5191,160.6,358.5,519.1,332,698,10,261,270
28,zero_shot,1726,4381,6107,172.6,438.1,610.7,508,970,10,271,280
29,zero_shot,1894,4010,5904,189.4,401.0,590.4,423,762,10,281,290
30,zero_shot,1861,3908,5769,186.1,390.8,576.9,453,726,10,291,300
31,zero_shot,1996,4358,6354,199.6,435.8,635.4,447,1181,10,301,310
32,zero_shot,2095,4784,6879,209.5,478.4,687.9,376,1247,10,311,320
33,zero_shot,2038,4490,6528,203.8,449.0,652.8,463,1242,10,321,330
34,zero_shot,1758,3967,5725,175.8,396.7,572.5,416,742,10,331,340
35,zero_shot,2091,3330,5421,209.1,333.0,542.1,455,814,10,341,350
36,zero_shot,1767,4087,5854,176.7,408.7,585.4,414,771,10,351,360
37,zero_shot,1895,3500,5395,189.5,350.0,539.5,402,786,10,361,370
38,zero_shot,1868,3839,5707,186.8,383.9,570.7,413,722,10,371,380
39,zero_shot,2141,4961,7102,214.1,496.1,710.2,396,1220,10,381,390
40,zero_shot,1907,4319,6226,190.7,431.9,622.6,465,1262,10,391,400
41,zero_shot,2095,3653,5748,209.5,365.3,574.8,411,750,10,401,410
42,zero_shot,1868,4432,6300,186.8,443.2,630.0,428,1252,10,411,420
43,zero_shot,2032,3806,5838,203.2,380.6,583.8,423,947,10,421,430
44,zero_shot,1716,2928,4644,171.6,292.8,464.4,379,558,10,431,440
45,zero_shot,1820,3516,5336,182.0,351.6,533.6,400,696,10,441,450
46,zero_shot,1785,3273,5058,178.5,327.3,505.8,350,663,10,451,460
47,zero_shot,2349,3672,6021,234.9,367.2,602.1,457,847,10,461,470
48,zero_shot,1670,3711,5381,167.0,371.1,538.1,384,722,10,471,480
49,zero_shot,2104,4215,6319,210.4,421.5,631.9,462,1261,10,481,490
50,zero_shot,2168,3588,5756,216.8,358.8,575.6,403,1217,10,491,500
51,zero_shot,2094,2926,5020,209.4,292.6,502.0,364,641,10,501,510
52,zero_shot,2127,3614,5741,212.7,361.4,574.1,454,754,10,511,520
53,zero_shot,2243,4238,6481,224.3,423.8,648.1,491,935,10,521,530
54,zero_shot,1882,3799,5681,188.2,379.9,568.1,509,630,10,531,540
55,zero_shot,2161,4227,6388,216.1,422.7,638.8,416,1290,10,541,550
56,zero_shot,1766,3616,5382,176.6,361.6,538.2,431,643,10,551,560
57,zero_shot,1641,2900,4541,164.1,290.0,454.1,377,537,10,561,570
