task_id,method,input_tokens,output_tokens,total_tokens,batch_index
1,few_shot,684,377,1061,0
2,few_shot,508,342,850,0
3,few_shot,527,364,891,0
4,few_shot,514,422,936,0
5,few_shot,602,303,905,0
6,few_shot,539,358,897,0
7,few_shot,504,255,759,0
8,few_shot,504,242,746,0
9,few_shot,539,257,796,0
10,few_shot,505,370,875,0
11,few_shot,582,271,853,1
12,few_shot,491,334,825,1
13,few_shot,514,399,913,1
14,few_shot,495,430,925,1
15,few_shot,501,330,831,1
16,few_shot,538,356,894,1
17,few_shot,489,222,711,1
18,few_shot,754,349,1103,1
19,few_shot,508,389,897,1
20,few_shot,564,349,913,1
21,few_shot,519,346,865,2
22,few_shot,557,407,964,2
23,few_shot,537,433,970,2
24,few_shot,559,375,934,2
25,few_shot,538,305,843,2
26,few_shot,524,382,906,2
27,few_shot,507,287,794,2
28,few_shot,540,360,900,2
29,few_shot,571,345,916,2
30,few_shot,603,238,841,2
31,few_shot,651,317,968,3
32,few_shot,595,292,887,3
33,few_shot,556,270,826,3
34,few_shot,600,483,1083,3
35,few_shot,491,225,716,3
36,few_shot,540,364,904,3
37,few_shot,539,422,961,3
38,few_shot,542,360,902,3
39,few_shot,698,194,892,3
40,few_shot,507,476,983,3
41,few_shot,511,378,889,4
42,few_shot,499,247,746,4
43,few_shot,527,261,788,4
44,few_shot,523,236,759,4
45,few_shot,574,348,922,4
46,few_shot,502,266,768,4
47,few_shot,571,291,862,4
48,few_shot,551,292,843,4
49,few_shot,497,376,873,4
50,few_shot,536,372,908,4
51,few_shot,503,294,797,5
52,few_shot,497,351,848,5
53,few_shot,508,236,744,5
54,few_shot,612,406,1018,5
55,few_shot,509,362,871,5
56,few_shot,550,265,815,5
57,few_shot,537,320,857,5
58,few_shot,493,377,870,5
59,few_shot,492,331,823,5
60,few_shot,621,347,968,5
61,few_shot,574,216,790,6
62,few_shot,482,281,763,6
63,few_shot,511,306,817,6
64,few_shot,532,382,914,6
65,few_shot,538,462,1000,6
66,few_shot,514,366,880,6
67,few_shot,598,297,895,6
68,few_shot,543,403,946,6
69,few_shot,620,714,1334,6
70,few_shot,568,312,880,6
71,few_shot,617,541,1158,7
72,few_shot,497,193,690,7
73,few_shot,496,265,761,7
74,few_shot,680,365,1045,7
75,few_shot,516,444,960,7
76,few_shot,546,295,841,7
77,few_shot,489,226,715,7
78,few_shot,560,306,866,7
79,few_shot,520,315,835,7
80,few_shot,500,248,748,7
81,few_shot,535,253,788,8
82,few_shot,499,254,753,8
83,few_shot,570,232,802,8
84,few_shot,514,331,845,8
85,few_shot,500,261,761,8
86,few_shot,501,253,754,8
87,few_shot,524,497,1021,8
88,few_shot,498,386,884,8
89,few_shot,484,244,728,8
90,few_shot,516,278,794,8
91,few_shot,504,311,815,9
92,few_shot,532,321,853,9
93,few_shot,521,273,794,9
94,few_shot,510,307,817,9
95,few_shot,503,328,831,9
96,few_shot,506,213,719,9
97,few_shot,563,464,1027,9
98,few_shot,504,320,824,9
99,few_shot,495,247,742,9
100,few_shot,539,336,875,9
101,few_shot,554,374,928,10
102,few_shot,510,358,868,10
103,few_shot,564,319,883,10
104,few_shot,512,451,963,10
105,few_shot,479,384,863,10
106,few_shot,506,465,971,10
107,few_shot,604,382,986,10
108,few_shot,549,540,1089,10
109,few_shot,525,384,909,10
110,few_shot,574,486,1060,10
111,few_shot,511,420,931,11
112,few_shot,485,262,747,11
113,few_shot,596,357,953,11
114,few_shot,516,333,849,11
115,few_shot,498,198,696,11
116,few_shot,504,305,809,11
117,few_shot,564,360,924,11
118,few_shot,500,255,755,11
119,few_shot,507,259,766,11
120,few_shot,513,397,910,11
121,few_shot,574,357,931,12
122,few_shot,618,295,913,12
123,few_shot,659,243,902,12
124,few_shot,510,406,916,12
125,few_shot,573,315,888,12
126,few_shot,525,319,844,12
127,few_shot,545,375,920,12
128,few_shot,528,323,851,12
129,few_shot,669,435,1104,12
130,few_shot,537,306,843,12
131,few_shot,580,356,936,13
132,few_shot,494,291,785,13
133,few_shot,524,1024,1548,13
134,few_shot,560,610,1170,13
135,few_shot,489,262,751,13
136,few_shot,657,416,1073,13
137,few_shot,541,384,925,13
138,few_shot,531,247,778,13
139,few_shot,501,284,785,13
140,few_shot,539,410,949,13
141,few_shot,586,476,1062,14
142,few_shot,520,380,900,14
143,few_shot,503,281,784,14
144,few_shot,531,294,825,14
145,few_shot,558,369,927,14
146,few_shot,506,245,751,14
147,few_shot,594,388,982,14
148,few_shot,618,328,946,14
149,few_shot,621,365,986,14
150,few_shot,535,223,758,14
151,few_shot,527,217,744,15
152,few_shot,665,505,1170,15
153,few_shot,521,297,818,15
154,few_shot,499,391,890,15
155,few_shot,566,284,850,15
156,few_shot,514,323,837,15
157,few_shot,508,255,763,15
158,few_shot,561,583,1144,15
159,few_shot,694,641,1335,15
160,few_shot,556,245,801,15
161,few_shot,503,479,982,16
162,few_shot,508,239,747,16
163,few_shot,512,308,820,16
164,few_shot,581,275,856,16
165,few_shot,558,223,781,16
166,few_shot,552,511,1063,16
167,few_shot,552,408,960,16
168,few_shot,504,289,793,16
169,few_shot,544,344,888,16
170,few_shot,539,375,914,16
171,few_shot,495,223,718,17
172,few_shot,541,307,848,17
173,few_shot,505,226,731,17
174,few_shot,513,336,849,17
175,few_shot,577,435,1012,17
176,few_shot,494,440,934,17
177,few_shot,506,237,743,17
178,few_shot,525,300,825,17
179,few_shot,644,474,1118,17
180,few_shot,552,459,1011,17
181,few_shot,639,339,978,18
182,few_shot,578,565,1143,18
183,few_shot,548,387,935,18
184,few_shot,504,338,842,18
185,few_shot,525,374,899,18
186,few_shot,525,294,819,18
187,few_shot,601,449,1050,18
188,few_shot,544,291,835,18
189,few_shot,634,474,1108,18
190,few_shot,524,435,959,18
191,few_shot,528,339,867,19
192,few_shot,543,292,835,19
193,few_shot,497,267,764,19
194,few_shot,582,382,964,19
195,few_shot,575,335,910,19
196,few_shot,510,459,969,19
197,few_shot,527,265,792,19
198,few_shot,536,275,811,19
199,few_shot,548,296,844,19
200,few_shot,520,351,871,19
201,few_shot,490,263,753,20
202,few_shot,532,230,762,20
203,few_shot,535,333,868,20
204,few_shot,519,307,826,20
205,few_shot,507,266,773,20
206,few_shot,515,233,748,20
207,few_shot,648,255,903,20
208,few_shot,531,413,944,20
209,few_shot,512,390,902,20
210,few_shot,535,738,1273,20
211,few_shot,511,229,740,21
212,few_shot,529,221,750,21
213,few_shot,524,308,832,21
214,few_shot,501,267,768,21
215,few_shot,547,230,777,21
216,few_shot,540,437,977,21
217,few_shot,529,248,777,21
218,few_shot,524,344,868,21
219,few_shot,563,396,959,21
220,few_shot,507,254,761,21
221,few_shot,508,259,767,22
222,few_shot,524,224,748,22
223,few_shot,666,367,1033,22
224,few_shot,516,268,784,22
225,few_shot,572,330,902,22
226,few_shot,525,277,802,22
