task_id,method,input_tokens,output_tokens,total_tokens,batch_index
1,few_shot,733,353,1086,0
2,few_shot,555,449,1004,0
3,few_shot,570,253,823,0
4,few_shot,561,271,832,0
5,few_shot,655,205,860,0
6,few_shot,582,395,977,0
7,few_shot,547,299,846,0
8,few_shot,547,232,779,0
9,few_shot,584,354,938,0
10,few_shot,548,311,859,0
11,few_shot,627,260,887,1
12,few_shot,534,474,1008,1
13,few_shot,561,347,908,1
14,few_shot,538,399,937,1
15,few_shot,545,320,865,1
16,few_shot,589,348,937,1
17,few_shot,534,209,743,1
18,few_shot,813,441,1254,1
19,few_shot,554,178,732,1
20,few_shot,620,273,893,1
21,few_shot,566,292,858,2
22,few_shot,605,375,980,2
23,few_shot,580,365,945,2
24,few_shot,606,646,1252,2
25,few_shot,582,387,969,2
26,few_shot,569,317,886,2
27,few_shot,551,213,764,2
28,few_shot,598,358,956,2
29,few_shot,618,352,970,2
30,few_shot,652,350,1002,2
31,few_shot,697,452,1149,3
32,few_shot,647,300,947,3
33,few_shot,599,372,971,3
34,few_shot,643,602,1245,3
35,few_shot,534,212,746,3
36,few_shot,586,632,1218,3
37,few_shot,586,641,1227,3
38,few_shot,585,312,897,3
39,few_shot,743,1024,1767,3
40,few_shot,555,233,788,3
41,few_shot,557,248,805,4
42,few_shot,542,403,945,4
43,few_shot,573,249,822,4
44,few_shot,569,254,823,4
45,few_shot,627,396,1023,4
46,few_shot,548,351,899,4
47,few_shot,617,507,1124,4
48,few_shot,594,376,970,4
49,few_shot,540,267,807,4
50,few_shot,579,364,943,4
51,few_shot,550,234,784,5
52,few_shot,540,293,833,5
53,few_shot,556,242,798,5
54,few_shot,659,349,1008,5
55,few_shot,552,255,807,5
56,few_shot,593,301,894,5
57,few_shot,580,425,1005,5
58,few_shot,536,181,717,5
59,few_shot,536,276,812,5
60,few_shot,678,568,1246,5
61,few_shot,617,267,884,6
62,few_shot,525,224,749,6
63,few_shot,557,352,909,6
64,few_shot,579,313,892,6
65,few_shot,591,332,923,6
66,few_shot,557,220,777,6
67,few_shot,641,262,903,6
68,few_shot,586,220,806,6
69,few_shot,689,337,1026,6
70,few_shot,613,309,922,6
71,few_shot,668,360,1028,7
72,few_shot,543,263,806,7
73,few_shot,539,471,1010,7
74,few_shot,733,420,1153,7
75,few_shot,559,463,1022,7
76,few_shot,592,347,939,7
77,few_shot,532,243,775,7
78,few_shot,606,284,890,7
79,few_shot,563,210,773,7
80,few_shot,550,263,813,7
81,few_shot,584,310,894,8
82,few_shot,545,214,759,8
83,few_shot,618,376,994,8
84,few_shot,561,268,829,8
85,few_shot,546,202,748,8
86,few_shot,544,251,795,8
87,few_shot,569,501,1070,8
88,few_shot,546,276,822,8
89,few_shot,527,173,700,8
90,few_shot,559,342,901,8
91,few_shot,547,218,765,9
92,few_shot,583,247,830,9
93,few_shot,570,343,913,9
94,few_shot,558,284,842,9
95,few_shot,547,268,815,9
96,few_shot,552,252,804,9
97,few_shot,606,350,956,9
98,few_shot,552,262,814,9
99,few_shot,538,239,777,9
100,few_shot,583,295,878,9
101,few_shot,597,367,964,10
102,few_shot,558,349,907,10
103,few_shot,613,295,908,10
104,few_shot,556,338,894,10
105,few_shot,522,259,781,10
106,few_shot,551,371,922,10
107,few_shot,656,528,1184,10
108,few_shot,598,574,1172,10
109,few_shot,568,288,856,10
110,few_shot,617,521,1138,10
111,few_shot,555,597,1152,11
112,few_shot,535,237,772,11
113,few_shot,639,553,1192,11
114,few_shot,561,290,851,11
115,few_shot,541,209,750,11
116,few_shot,547,433,980,11
117,few_shot,609,390,999,11
