task_id,method,input_tokens,output_tokens,total_tokens,batch_index
1,pot,616,540,1156,0
2,pot,440,328,768,0
3,pot,463,281,744,0
4,pot,450,549,999,0
5,pot,534,346,880,0
6,pot,483,391,874,0
7,pot,440,346,786,0
8,pot,438,243,681,0
9,pot,473,332,805,0
10,pot,439,469,908,0
11,pot,514,325,839,1
12,pot,423,605,1028,1
13,pot,446,428,874,1
14,pot,427,391,818,1
15,pot,435,273,708,1
16,pot,478,360,838,1
17,pot,423,292,715,1
18,pot,690,349,1039,1
19,pot,440,320,760,1
20,pot,498,326,824,1
21,pot,455,292,747,2
22,pot,493,355,848,2
23,pot,469,447,916,2
24,pot,495,384,879,2
25,pot,470,385,855,2
26,pot,460,379,839,2
27,pot,435,189,624,2
28,pot,474,311,785,2
29,pot,511,370,881,2
30,pot,549,334,883,2
31,pot,579,637,1216,3
32,pot,533,348,881,3
33,pot,492,382,874,3
34,pot,532,499,1031,3
35,pot,427,197,624,3
36,pot,478,418,896,3
37,pot,475,518,993,3
38,pot,478,411,889,3
39,pot,632,353,985,3
40,pot,439,413,852,3
41,pot,447,336,783,4
42,pot,431,287,718,4
43,pot,459,269,728,4
44,pot,459,297,756,4
45,pot,506,493,999,4
46,pot,434,231,665,4
47,pot,507,408,915,4
48,pot,491,406,897,4
49,pot,429,517,946,4
50,pot,472,283,755,4
51,pot,437,331,768,5
52,pot,435,296,731,5
53,pot,440,233,673,5
54,pot,544,464,1008,5
55,pot,443,325,768,5
56,pot,478,302,780,5
57,pot,473,419,892,5
58,pot,427,390,817,5
59,pot,426,265,691,5
60,pot,557,390,947,5
61,pot,508,270,778,6
62,pot,414,314,728,6
63,pot,443,366,809,6
64,pot,464,505,969,6
65,pot,474,449,923,6
66,pot,446,305,751,6
67,pot,530,368,898,6
68,pot,479,316,795,6
69,pot,554,563,1117,6
70,pot,500,352,852,6
71,pot,549,480,1029,7
72,pot,429,255,684,7
73,pot,428,389,817,7
74,pot,614,324,938,7
75,pot,450,261,711,7
76,pot,480,367,847,7
77,pot,421,333,754,7
78,pot,502,366,868,7
79,pot,452,219,671,7
80,pot,434,240,674,7
81,pot,469,398,867,8
82,pot,431,271,702,8
83,pot,502,353,855,8
84,pot,442,250,692,8
85,pot,434,252,686,8
86,pot,439,319,758,8
87,pot,462,537,999,8
88,pot,430,334,764,8
89,pot,416,238,654,8
90,pot,448,231,679,8
91,pot,436,270,706,9
92,pot,466,363,829,9
93,pot,449,286,735,9
94,pot,442,321,763,9
95,pot,439,283,722,9
96,pot,434,231,665,9
97,pot,495,383,878,9
98,pot,436,327,763,9
99,pot,431,348,779,9
100,pot,481,407,888,9
101,pot,488,529,1017,10
102,pot,446,257,703,10
103,pot,500,356,856,10
104,pot,446,450,896,10
105,pot,407,365,772,10
106,pot,438,446,884,10
107,pot,538,360,898,10
108,pot,485,420,905,10
109,pot,459,371,830,10
110,pot,506,567,1073,10
111,pot,451,379,830,11
112,pot,413,339,752,11
113,pot,528,337,865,11
114,pot,448,405,853,11
115,pot,430,260,690,11
116,pot,440,344,784,11
117,pot,500,556,1056,11
118,pot,436,318,754,11
119,pot,435,247,682,11
120,pot,449,389,838,11
121,pot,508,420,928,12
122,pot,548,262,810,12
123,pot,597,269,866,12
124,pot,442,587,1029,12
125,pot,505,278,783,12
126,pot,453,303,756,12
127,pot,477,407,884,12
128,pot,460,333,793,12
129,pot,605,468,1073,12
130,pot,471,315,786,12
131,pot,516,230,746,13
132,pot,426,298,724,13
133,pot,462,374,836,13
134,pot,492,397,889,13
135,pot,421,245,666,13
136,pot,591,494,1085,13
137,pot,473,310,783,13
138,pot,481,382,863,13
139,pot,437,301,738,13
140,pot,473,413,886,13
141,pot,518,449,967,14
142,pot,454,399,853,14
143,pot,435,240,675,14
144,pot,463,402,865,14
145,pot,494,264,758,14
146,pot,442,252,694,14
147,pot,530,364,894,14
148,pot,558,330,888,14
149,pot,567,513,1080,14
150,pot,471,329,800,14
151,pot,461,390,851,15
152,pot,597,523,1120,15
153,pot,455,330,785,15
154,pot,431,503,934,15
155,pot,506,353,859,15
156,pot,450,1024,1474,15
157,pot,440,342,782,15
158,pot,493,379,872,15
159,pot,626,761,1387,15
160,pot,484,405,889,15
161,pot,435,402,837,16
162,pot,440,206,646,16
163,pot,444,297,741,16
164,pot,513,306,819,16
165,pot,494,361,855,16
166,pot,488,382,870,16
167,pot,492,612,1104,16
168,pot,432,311,743,16
169,pot,478,298,776,16
170,pot,475,552,1027,16
171,pot,429,237,666,17
172,pot,475,441,916,17
173,pot,439,242,681,17
174,pot,447,370,817,17
175,pot,517,370,887,17
176,pot,426,273,699,17
177,pot,434,290,724,17
178,pot,459,307,766,17
179,pot,582,654,1236,17
180,pot,488,408,896,17
181,pot,571,401,972,18
182,pot,510,383,893,18
183,pot,480,608,1088,18
184,pot,438,335,773,18
185,pot,459,365,824,18
186,pot,459,225,684,18
187,pot,539,401,940,18
188,pot,476,1024,1500,18
189,pot,570,377,947,18
190,pot,464,385,849,18
191,pot,462,308,770,19
192,pot,475,218,693,19
193,pot,429,448,877,19
194,pot,520,398,918,19
195,pot,503,373,876,19
196,pot,444,468,912,19
197,pot,463,225,688,19
198,pot,468,264,732,19
199,pot,488,330,818,19
200,pot,452,438,890,19
201,pot,422,299,721,20
202,pot,464,324,788,20
203,pot,469,464,933,20
204,pot,447,243,690,20
205,pot,439,318,757,20
206,pot,449,247,696,20
207,pot,594,347,941,20
208,pot,463,1024,1487,20
209,pot,444,560,1004,20
210,pot,475,396,871,20
211,pot,443,206,649,21
212,pot,465,221,686,21
213,pot,458,319,777,21
214,pot,435,385,820,21
215,pot,479,279,758,21
216,pot,476,410,886,21
217,pot,465,307,772,21
218,pot,456,364,820,21
219,pot,499,411,910,21
220,pot,445,439,884,21
221,pot,440,343,783,22
222,pot,456,359,815,22
223,pot,598,457,1055,22
224,pot,452,376,828,22
225,pot,504,700,1204,22
226,pot,461,274,735,22
227,pot,481,379,860,22
228,pot,521,437,958,22
229,pot,493,512,1005,22
230,pot,428,312,740,22
231,pot,647,408,1055,23
232,pot,438,527,965,23
233,pot,444,357,801,23
234,pot,422,265,687,23
235,pot,498,631,1129,23
236,pot,526,379,905,23
237,pot,457,278,735,23
238,pot,455,304,759,23
239,pot,586,453,1039,23
240,pot,434,608,1042,23
241,pot,454,539,993,24
242,pot,438,254,692,24
243,pot,494,312,806,24
244,pot,450,385,835,24
245,pot,639,471,1110,24
246,pot,499,396,895,24
247,pot,598,270,868,24
248,pot,444,248,692,24
249,pot,447,341,788,24
250,pot,447,544,991,24
251,pot,433,449,882,25
252,pot,423,1024,1447,25
253,pot,449,231,680,25
254,pot,430,1024,1454,25
255,pot,438,459,897,25
256,pot,498,320,818,25
257,pot,430,178,608,25
258,pot,447,356,803,25
259,pot,471,258,729,25
260,pot,459,307,766,25
261,pot,453,212,665,26
262,pot,435,412,847,26
263,pot,432,573,1005,26
264,pot,476,192,668,26
265,pot,428,398,826,26
266,pot,432,224,656,26
267,pot,427,208,635,26
268,pot,437,200,637,26
269,pot,421,294,715,26
270,pot,498,705,1203,26
271,pot,475,354,829,27
272,pot,433,378,811,27
273,pot,455,317,772,27
274,pot,456,278,734,27
