batch_index,method,sum_input_tokens,sum_output_tokens,sum_total_tokens,avg_input_tokens,avg_output_tokens,avg_total_tokens,min_total_tokens,max_total_tokens,tasks_in_batch,batch_start,batch_end
1,few_shot,5426,3290,8716,542.6,329.0,871.6,746,1061,10,1,10
2,few_shot,5436,3429,8865,543.6,342.9,886.5,711,1103,10,11,20
3,few_shot,5455,3478,8933,545.5,347.8,893.3,794,970,10,21,30
4,few_shot,5719,3403,9122,571.9,340.3,912.2,716,1083,10,31,40
5,few_shot,5291,3067,8358,529.1,306.7,835.8,746,922,10,41,50
6,few_shot,5322,3289,8611,532.2,328.9,861.1,744,1018,10,51,60
7,few_shot,5480,3739,9219,548.0,373.9,921.9,763,1334,10,61,70
8,few_shot,5421,3198,8619,542.1,319.8,861.9,690,1158,10,71,80
9,few_shot,5141,2989,8130,514.1,298.9,813.0,728,1021,10,81,90
10,few_shot,5177,3120,8297,517.7,312.0,829.7,719,1027,10,91,100
11,few_shot,5377,4143,9520,537.7,414.3,952.0,863,1089,10,101,110
12,few_shot,5194,3146,8340,519.4,314.6,834.0,696,953,10,111,120
13,few_shot,5738,3374,9112,573.8,337.4,911.2,843,1104,10,121,130
14,few_shot,5416,4284,9700,541.6,428.4,970.0,751,1548,10,131,140
15,few_shot,5572,3349,8921,557.2,334.9,892.1,751,1062,10,141,150
16,few_shot,5611,3741,9352,561.1,374.1,935.2,744,1335,10,151,160
17,few_shot,5353,3451,8804,535.3,345.1,880.4,747,1063,10,161,170
18,few_shot,5352,3437,8789,535.2,343.7,878.9,718,1118,10,171,180
19,few_shot,5622,3946,9568,562.2,394.6,956.8,819,1143,10,181,190
20,few_shot,5366,3261,8627,536.6,326.1,862.7,764,969,10,191,200
21,few_shot,5324,3428,8752,532.4,342.8,875.2,748,1273,10,201,210
22,few_shot,5275,2934,8209,527.5,293.4,820.9,740,977,10,211,220
23,few_shot,5476,3473,8949,547.6,347.3,894.9,720,1169,10,221,230
24,few_shot,5547,3217,8764,554.7,321.7,876.4,706,1092,10,231,240
25,few_shot,5570,3291,8861,557.0,329.1,886.1,758,1081,10,241,250
26,few_shot,5152,3609,8761,515.2,360.9,876.1,750,1013,10,251,260
27,few_shot,5097,3104,8201,509.7,310.4,820.1,704,963,10,261,270
28,few_shot,5220,3314,8534,522.0,331.4,853.4,743,997,10,271,280
29,few_shot,5382,3349,8731,538.2,334.9,873.1,729,1228,10,281,290
30,few_shot,5351,3631,8982,535.1,363.1,898.2,723,1186,10,291,300
31,few_shot,5483,3922,9405,548.3,392.2,940.5,716,1218,10,301,310
32,few_shot,5594,3084,8678,559.4,308.4,867.8,767,998,10,311,320
33,few_shot,5529,3987,9516,552.9,398.7,951.6,760,1433,10,321,330
34,few_shot,5256,2956,8212,525.6,295.6,821.2,727,951,10,331,340
35,few_shot,5578,3468,9046,557.8,346.8,904.6,796,1089,10,341,350
36,few_shot,5251,3847,9098,525.1,384.7,909.8,721,1540,10,351,360
37,few_shot,5393,4286,9679,539.3,428.6,967.9,744,1532,10,361,370
38,few_shot,5353,3877,9230,535.3,387.7,923.0,741,1053,10,371,380
39,few_shot,5642,3616,9258,564.2,361.6,925.8,808,1036,10,381,390
40,few_shot,5402,3925,9327,540.2,392.5,932.7,769,1065,10,391,400
41,few_shot,5588,3675,9263,558.8,367.5,926.3,709,1117,10,401,410
42,few_shot,5352,3656,9008,535.2,365.6,900.8,755,1092,10,411,420
43,few_shot,5528,3600,9128,552.8,360.0,912.8,809,1176,10,421,430
44,few_shot,5207,3480,8687,520.7,348.0,868.7,750,1014,10,431,440
45,few_shot,5305,3401,8706,530.5,340.1,870.6,712,1080,10,441,450
46,few_shot,5275,2980,8255,527.5,298.0,825.5,711,1024,10,451,460
47,few_shot,5836,3666,9502,583.6,366.6,950.2,782,1299,10,461,470
48,few_shot,5159,3483,8642,515.9,348.3,864.2,690,1152,10,471,480
49,few_shot,5598,3772,9370,559.8,377.2,937.0,732,1091,10,481,490
50,few_shot,5657,3490,9147,565.7,349.0,914.7,754,1477,10,491,500
51,few_shot,5585,3500,9085,558.5,350.0,908.5,764,1006,10,501,510
52,few_shot,5615,3436,9051,561.5,343.6,905.1,717,1143,10,511,520
53,few_shot,5737,3550,9287,573.7,355.0,928.7,734,1065,10,521,530
54,few_shot,5377,3787,9164,537.7,378.7,916.4,833,1037,10,531,540
55,few_shot,5660,3294,8954,566.0,329.4,895.4,760,1109,10,541,550
56,few_shot,5253,4010,9263,525.3,401.0,926.3,709,1089,10,551,560
57,few_shot,5123,3321,8444,512.3,332.1,844.4,750,973,10,561,570
58,few_shot,5510,3839,9349,551.0,383.9,934.9,787,1172,10,571,580
59,few_shot,5141,4106,9247,514.1,410.6,924.7,682,1409,10,581,590
60,few_shot,5512,3492,9004,551.2,349.2,900.4,738,1303,10,591,600
61,few_shot,5454,3110,8564,545.4,311.0,856.4,751,1074,10,601,610
62,few_shot,5260,3554,8814,526.0,355.4,881.4,806,975,10,611,620
63,few_shot,5561,4424,9985,556.1,442.4,998.5,706,1541,10,621,630
64,few_shot,5286,3096,8382,528.6,309.6,838.2,739,925,10,631,640
65,few_shot,5254,4027,9281,525.4,402.7,928.1,738,1095,10,641,650
66,few_shot,5332,3463,8795,533.2,346.3,879.5,791,1103,10,651,660
67,few_shot,5535,3436,8971,553.5,343.6,897.1,739,1203,10,661,670
68,few_shot,5222,3550,8772,522.2,355.0,877.2,745,1205,10,671,680
69,few_shot,5524,3263,8787,552.4,326.3,878.7,758,981,10,681,690
70,few_shot,5250,3940,9190,525.0,394.0,919.0,782,1129,10,691,700
71,few_shot,5455,3505,8960,545.5,350.5,896.0,755,1150,10,701,710
72,few_shot,5424,3294,8718,542.4,329.4,871.8,734,1021,10,711,720
73,few_shot,5286,3890,9176,528.6,389.0,917.6,739,1236,10,721,730
74,few_shot,5337,3150,8487,533.7,315.0,848.7,709,945,10,731,740
75,few_shot,5363,3465,8828,536.3,346.5,882.8,746,1176,10,741,750
76,few_shot,5484,4135,9619,548.4,413.5,961.9,762,1073,10,751,760
77,few_shot,5348,4111,9459,534.8,411.1,945.9,770,1571,10,761,770
78,few_shot,5514,3560,9074,551.4,356.0,907.4,742,1106,10,771,780
79,few_shot,5450,3150,8600,545.0,315.0,860.0,748,1240,10,781,790
80,few_shot,5189,3604,8793,518.9,360.4,879.3,745,1074,10,791,800
81,few_shot,5234,3120,8354,523.4,312.0,835.4,776,927,10,801,810
82,few_shot,5286,3313,8599,528.6,331.3,859.9,726,1191,10,811,820
83,few_shot,5481,3570,9051,548.1,357.0,905.1,828,981,10,821,830
84,few_shot,5704,3476,9180,570.4,347.6,918.0,730,1149,10,831,840
85,few_shot,5605,4406,10011,560.5,440.6,1001.1,842,1129,10,841,850
86,few_shot,5450,3535,8985,545.0,353.5,898.5,759,1086,10,851,860
87,few_shot,5397,4189,9586,539.7,418.9,958.6,765,1142,10,861,870
88,few_shot,5265,3165,8430,526.5,316.5,843.0,761,1003,10,871,880
89,few_shot,5328,3769,9097,532.8,376.9,909.7,731,1082,10,881,890
90,few_shot,5272,3515,8787,527.2,351.5,878.7,720,1016,10,891,900
91,few_shot,5316,3306,8622,531.6,330.6,862.2,720,962,10,901,910
92,few_shot,5556,3568,9124,555.6,356.8,912.4,710,1032,10,911,920
93,few_shot,5525,3593,9118,552.5,359.3,911.8,808,1044,10,921,930
94,few_shot,5621,3984,9605,562.1,398.4,960.5,812,1213,10,931,940
95,few_shot,5389,3224,8613,538.9,322.4,861.3,721,1097,10,941,950
96,few_shot,5416,3380,8796,541.6,338.0,879.6,726,1159,10,951,960
97,few_shot,5408,3842,9250,540.8,384.2,925.0,711,1665,10,961,970
98,few_shot,2285,1474,3759,571.25,368.5,939.75,793,1096,4,971,974
