batch_index,method,sum_input_tokens,sum_output_tokens,sum_total_tokens,avg_input_tokens,avg_output_tokens,avg_total_tokens,min_total_tokens,max_total_tokens,tasks_in_batch,batch_start,batch_end
1,zero_shot,2055,4407,6462,205.5,440.7,646.2,529,835,10,1,10
2,zero_shot,2084,4619,6703,208.4,461.9,670.3,528,1007,10,11,20
3,zero_shot,2081,4430,6511,208.1,443.0,651.1,484,933,10,21,30
4,zero_shot,2338,5475,7813,233.8,547.5,781.3,458,1384,10,31,40
5,zero_shot,1910,3840,5750,191.0,384.0,575.0,483,749,10,41,50
6,zero_shot,1949,4833,6782,194.9,483.3,678.2,539,941,10,51,60
7,zero_shot,2127,4103,6230,212.7,410.3,623.0,428,861,10,61,70
8,zero_shot,2050,4532,6582,205.0,453.2,658.2,513,866,10,71,80
9,zero_shot,1770,4141,5911,177.0,414.1,591.1,399,890,10,81,90
10,zero_shot,1806,4002,5808,180.6,400.2,580.8,484,755,10,91,100
11,zero_shot,1994,4663,6657,199.4,466.3,665.7,519,987,10,101,110
12,zero_shot,1803,4142,5945,180.3,414.2,594.5,471,842,10,111,120
13,zero_shot,2382,5813,8195,238.2,581.3,819.5,591,1325,10,121,130
14,zero_shot,2031,4681,6712,203.1,468.1,671.2,451,1282,10,131,140
15,zero_shot,2209,4780,6989,220.9,478.0,698.9,566,866,10,141,150
16,zero_shot,2239,5142,7381,223.9,514.2,738.1,521,1349,10,151,160
17,zero_shot,1996,5020,7016,199.6,502.0,701.6,469,1186,10,161,170
18,zero_shot,1973,4406,6379,197.3,440.6,637.9,506,833,10,171,180
19,zero_shot,2253,5467,7720,225.3,546.7,772.0,509,1279,10,181,190
20,zero_shot,1973,4470,6443,197.3,447.0,644.3,458,1265,10,191,200
21,zero_shot,1940,4308,6248,194.0,430.8,624.8,501,901,10,201,210
22,zero_shot,1878,3867,5745,187.8,386.7,574.5,433,666,10,211,220
23,zero_shot,2079,5180,7259,207.9,518.0,725.9,484,999,10,221,230
24,zero_shot,2184,4274,6458,218.4,427.4,645.8,477,1133,10,231,240
25,zero_shot,2226,4142,6368,222.6,414.2,636.8,491,743,10,241,250
26,zero_shot,1771,4776,6547,177.1,477.6,654.7,499,934,10,251,260
27,zero_shot,1702,4447,6149,170.2,444.7,614.9,486,782,10,261,270
28,zero_shot,1827,4677,6504,182.7,467.7,650.4,506,823,10,271,280
29,zero_shot,2002,5210,7212,200.2,521.0,721.2,473,1210,10,281,290
30,zero_shot,1965,4590,6555,196.5,459.0,655.5,541,846,10,291,300
31,zero_shot,2119,4829,6948,211.9,482.9,694.8,518,1152,10,301,310
32,zero_shot,2193,4130,6323,219.3,413.0,632.3,470,754,10,311,320
33,zero_shot,2174,4348,6522,217.4,434.8,652.2,493,1026,10,321,330
34,zero_shot,1856,4223,6079,185.6,422.3,607.9,548,713,10,331,340
35,zero_shot,2215,3989,6204,221.5,398.9,620.4,497,919,10,341,350
36,zero_shot,1864,4013,5877,186.4,401.3,587.7,489,710,10,351,360
37,zero_shot,2032,4264,6296,203.2,426.4,629.6,482,1029,10,361,370
38,zero_shot,1964,4160,6124,196.4,416.0,612.4,447,752,10,371,380
39,zero_shot,2257,4691,6948,225.7,469.1,694.8,483,1295,10,381,390
40,zero_shot,2035,3998,6033,203.5,399.8,603.3,507,750,10,391,400
41,zero_shot,2217,4787,7004,221.7,478.7,700.4,547,846,10,401,410
42,zero_shot,1976,4046,6022,197.6,404.6,602.2,492,727,10,411,420
43,zero_shot,2150,4190,6340,215.0,419.0,634.0,512,857,10,421,430
44,zero_shot,1805,4336,6141,180.5,433.6,614.1,432,867,10,431,440
45,zero_shot,1937,4502,6439,193.7,450.2,643.9,534,893,10,441,450
46,zero_shot,1881,3961,5842,188.1,396.1,584.2,466,811,10,451,460
47,zero_shot,2490,3963,6453,249.0,396.3,645.3,462,849,10,461,470
48,zero_shot,1769,4631,6400,176.9,463.1,640.0,477,800,10,471,480
49,zero_shot,2270,4551,6821,227.0,455.1,682.1,524,965,10,481,490
50,zero_shot,2283,4995,7278,228.3,499.5,727.8,399,1371,10,491,500
51,zero_shot,2219,4419,6638,221.9,441.9,663.8,508,899,10,501,510
52,zero_shot,2278,4469,6747,227.8,446.9,674.7,459,850,10,511,520
53,zero_shot,2395,4466,6861,239.5,446.6,686.1,521,830,10,521,530
54,zero_shot,1980,4327,6307,198.0,432.7,630.7,555,737,10,531,540
55,zero_shot,2305,5009,7314,230.5,500.9,731.4,479,1298,10,541,550
56,zero_shot,1863,4160,6023,186.3,416.0,602.3,511,727,10,551,560
57,zero_shot,1731,4353,6084,173.1,435.3,608.4,519,718,10,561,570
58,zero_shot,2123,5278,7401,212.3,527.8,740.1,538,1225,10,571,580
59,zero_shot,1757,5197,6954,175.7,519.7,695.4,521,1088,10,581,590
60,zero_shot,2140,4779,6919,214.0,477.9,691.9,508,964,10,591,600
61,zero_shot,2096,4833,6929,209.6,483.3,692.9,515,1215,10,601,610
62,zero_shot,1878,4201,6079,187.8,420.1,607.9,495,769,10,611,620
63,zero_shot,2172,4435,6607,217.2,443.5,660.7,467,1092,10,621,630
64,zero_shot,1894,4148,6042,189.4,414.8,604.2,467,720,10,631,640
65,zero_shot,1895,5316,7211,189.5,531.6,721.1,487,1219,10,641,650
66,zero_shot,1945,4842,6787,194.5,484.2,678.7,540,1211,10,651,660
67,zero_shot,2176,4479,6655,217.6,447.9,665.5,478,901,10,661,670
68,zero_shot,1829,4486,6315,182.9,448.6,631.5,487,1070,10,671,680
69,zero_shot,2153,4978,7131,215.3,497.8,713.1,577,983,10,681,690
70,zero_shot,1857,4376,6233,185.7,437.6,623.3,485,714,10,691,700
71,zero_shot,2106,4446,6552,210.6,444.6,655.2,473,1290,10,701,710
72,zero_shot,2045,4845,6890,204.5,484.5,689.0,463,1203,10,711,720
73,zero_shot,1901,4847,6748,190.1,484.7,674.8,551,830,10,721,730
74,zero_shot,1947,5106,7053,194.7,510.6,705.3,532,1268,10,731,740
75,zero_shot,2013,4730,6743,201.3,473.0,674.3,539,871,10,741,750
76,zero_shot,2094,4467,6561,209.4,446.7,656.1,503,841,10,751,760
77,zero_shot,1947,4888,6835,194.7,488.8,683.5,537,893,10,761,770
78,zero_shot,2129,5178,7307,212.9,517.8,730.7,568,1144,10,771,780
79,zero_shot,2064,4982,7046,206.4,498.2,704.6,453,1212,10,781,790
80,zero_shot,1798,4041,5839,179.8,404.1,583.9,460,750,10,791,800
81,zero_shot,1842,4051,5893,184.2,405.1,589.3,509,785,10,801,810
82,zero_shot,1888,4431,6319,188.8,443.1,631.9,513,1010,10,811,820
83,zero_shot,2107,4915,7022,210.7,491.5,702.2,504,1303,10,821,830
84,zero_shot,2361,4379,6740,236.1,437.9,674.0,507,1047,10,831,840
85,zero_shot,2232,4245,6477,223.2,424.5,647.7,567,884,10,841,850
86,zero_shot,2048,4206,6254,204.8,420.6,625.4,488,775,10,851,860
87,zero_shot,2013,4738,6751,201.3,473.8,675.1,543,857,10,861,870
88,zero_shot,1881,4441,6322,188.1,444.1,632.2,540,741,10,871,880
89,zero_shot,1921,4281,6202,192.1,428.1,620.2,548,829,10,881,890
90,zero_shot,1876,4381,6257,187.6,438.1,625.7,424,778,10,891,900
91,zero_shot,1925,5088,7013,192.5,508.8,701.3,513,1128,10,901,910
92,zero_shot,2207,4549,6756,220.7,454.9,675.6,462,1020,10,911,920
93,zero_shot,2177,5273,7450,217.7,527.3,745.0,524,1030,10,921,930
94,zero_shot,2251,5133,7384,225.1,513.3,738.4,532,1244,10,931,940
95,zero_shot,2008,4866,6874,200.8,486.6,687.4,471,1352,10,941,950
96,zero_shot,2030,5294,7324,203.0,529.4,732.4,474,1286,10,951,960
97,zero_shot,2036,4270,6306,203.6,427.0,630.6,472,869,10,961,970
98,zero_shot,977,1974,2951,244.25,493.5,737.75,470,1268,4,971,974
