task_id,method,input_tokens,output_tokens,total_tokens,batch_index,num_samples
1,self_consistency_cot,1881,1345,3226,0,3
2,self_consistency_cot,1347,1152,2499,0,3
3,self_consistency_cot,1392,1038,2430,0,3
4,self_consistency_cot,1365,1192,2557,0,3
5,self_consistency_cot,1647,895,2542,0,3
6,self_consistency_cot,1428,1320,2748,0,3
7,self_consistency_cot,1323,1544,2867,0,3
8,self_consistency_cot,1323,772,2095,0,3
9,self_consistency_cot,1434,1128,2562,0,3
10,self_consistency_cot,1326,1223,2549,0,3
11,self_consistency_cot,1563,1036,2599,1,3
12,self_consistency_cot,1284,1761,3045,1,3
13,self_consistency_cot,1365,1572,2937,1,3
14,self_consistency_cot,1296,969,2265,1,3
15,self_consistency_cot,1317,1388,2705,1,3
16,self_consistency_cot,1449,1402,2851,1,3
17,self_consistency_cot,1284,661,1945,1,3
18,self_consistency_cot,2121,1758,3879,1,3
19,self_consistency_cot,1344,705,2049,1,3
20,self_consistency_cot,1542,1088,2630,1,3
21,self_consistency_cot,1380,1048,2428,2,3
22,self_consistency_cot,1497,1210,2707,2,3
23,self_consistency_cot,1422,1145,2567,2,3
24,self_consistency_cot,1500,1177,2677,2,3
25,self_consistency_cot,1428,1099,2527,2,3
26,self_consistency_cot,1389,1239,2628,2,3
27,self_consistency_cot,1335,858,2193,2,3
28,self_consistency_cot,1476,1087,2563,2,3
29,self_consistency_cot,1536,1309,2845,2,3
30,self_consistency_cot,1638,1231,2869,2,3
31,self_consistency_cot,1773,1589,3362,3,3
32,self_consistency_cot,1623,2217,3840,3,3
33,self_consistency_cot,1479,1244,2723,3,3
34,self_consistency_cot,1611,1483,3094,3,3
35,self_consistency_cot,1284,592,1876,3,3
36,self_consistency_cot,1440,1856,3296,3,3
37,self_consistency_cot,1440,1437,2877,3,3
38,self_consistency_cot,1437,1122,2559,3,3
39,self_consistency_cot,1911,1402,3313,3,3
40,self_consistency_cot,1347,1338,2685,3,3
41,self_consistency_cot,1353,1020,2373,4,3
42,self_consistency_cot,1308,1067,2375,4,3
43,self_consistency_cot,1401,1002,2403,4,3
44,self_consistency_cot,1389,1041,2430,4,3
45,self_consistency_cot,1563,1097,2660,4,3
46,self_consistency_cot,1326,1327,2653,4,3
47,self_consistency_cot,1533,1209,2742,4,3
48,self_consistency_cot,1464,929,2393,4,3
49,self_consistency_cot,1302,1106,2408,4,3
50,self_consistency_cot,1419,1250,2669,4,3
51,self_consistency_cot,1332,954,2286,5,3
52,self_consistency_cot,1302,769,2071,5,3
53,self_consistency_cot,1350,747,2097,5,3
54,self_consistency_cot,1659,1133,2792,5,3
55,self_consistency_cot,1338,853,2191,5,3
56,self_consistency_cot,1461,1436,2897,5,3
57,self_consistency_cot,1422,1246,2668,5,3
58,self_consistency_cot,1290,975,2265,5,3
59,self_consistency_cot,1290,735,2025,5,3
60,self_consistency_cot,1716,1386,3102,5,3
61,self_consistency_cot,1533,1502,3035,6,3
62,self_consistency_cot,1257,1015,2272,6,3
63,self_consistency_cot,1353,1325,2678,6,3
64,self_consistency_cot,1419,1566,2985,6,3
65,self_consistency_cot,1455,1504,2959,6,3
66,self_consistency_cot,1353,898,2251,6,3
67,self_consistency_cot,1605,1652,3257,6,3
68,self_consistency_cot,1440,1389,2829,6,3
69,self_consistency_cot,1749,1448,3197,6,3
70,self_consistency_cot,1521,1248,2769,6,3
71,self_consistency_cot,1686,1428,3114,7,3
72,self_consistency_cot,1311,1068,2379,7,3
73,self_consistency_cot,1299,1297,2596,7,3
74,self_consistency_cot,1881,1195,3076,7,3
75,self_consistency_cot,1359,1278,2637,7,3
76,self_consistency_cot,1458,1038,2496,7,3
77,self_consistency_cot,1278,666,1944,7,3
78,self_consistency_cot,1500,1174,2674,7,3
79,self_consistency_cot,1371,857,2228,7,3
80,self_consistency_cot,1332,803,2135,7,3
81,self_consistency_cot,1434,1079,2513,8,3
82,self_consistency_cot,1317,839,2156,8,3
83,self_consistency_cot,1536,1027,2563,8,3
84,self_consistency_cot,1365,778,2143,8,3
85,self_consistency_cot,1320,693,2013,8,3
86,self_consistency_cot,1314,688,2002,8,3
87,self_consistency_cot,1389,2211,3600,8,3
88,self_consistency_cot,1320,1176,2496,8,3
89,self_consistency_cot,1263,715,1978,8,3
90,self_consistency_cot,1359,852,2211,8,3
91,self_consistency_cot,1323,835,2158,9,3
92,self_consistency_cot,1431,911,2342,9,3
93,self_consistency_cot,1392,736,2128,9,3
94,self_consistency_cot,1356,1096,2452,9,3
95,self_consistency_cot,1323,1023,2346,9,3
96,self_consistency_cot,1338,1176,2514,9,3
97,self_consistency_cot,1500,1387,2887,9,3
98,self_consistency_cot,1338,944,2282,9,3
99,self_consistency_cot,1296,1193,2489,9,3
100,self_consistency_cot,1431,1236,2667,9,3
101,self_consistency_cot,1473,1541,3014,10,3
102,self_consistency_cot,1356,1245,2601,10,3
103,self_consistency_cot,1521,1109,2630,10,3
104,self_consistency_cot,1350,1826,3176,10,3
105,self_consistency_cot,1248,763,2011,10,3
106,self_consistency_cot,1335,1149,2484,10,3
107,self_consistency_cot,1650,1970,3620,10,3
108,self_consistency_cot,1476,1438,2914,10,3
109,self_consistency_cot,1386,983,2369,10,3
110,self_consistency_cot,1533,1467,3000,10,3
111,self_consistency_cot,1347,1685,3032,11,3
112,self_consistency_cot,1287,665,1952,11,3
113,self_consistency_cot,1599,992,2591,11,3
114,self_consistency_cot,1365,1262,2627,11,3
115,self_consistency_cot,1305,916,2221,11,3
116,self_consistency_cot,1323,1266,2589,11,3
117,self_consistency_cot,1509,1197,2706,11,3
118,self_consistency_cot,1320,1090,2410,11,3
119,self_consistency_cot,1341,1128,2469,11,3
120,self_consistency_cot,1350,1229,2579,11,3
121,self_consistency_cot,1533,1244,2777,12,3
122,self_consistency_cot,1731,864,2595,12,3
123,self_consistency_cot,1818,916,2734,12,3
124,self_consistency_cot,1344,1261,2605,12,3
125,self_consistency_cot,1557,2504,4061,12,3
126,self_consistency_cot,1386,1242,2628,12,3
127,self_consistency_cot,1461,994,2455,12,3
128,self_consistency_cot,1395,1061,2456,12,3
129,self_consistency_cot,1818,1511,3329,12,3
130,self_consistency_cot,1440,1171,2611,12,3
131,self_consistency_cot,1611,1064,2675,13,3
132,self_consistency_cot,1308,883,2191,13,3
133,self_consistency_cot,1383,1081,2464,13,3
134,self_consistency_cot,1491,1094,2585,13,3
135,self_consistency_cot,1290,712,2002,13,3
136,self_consistency_cot,1791,896,2687,13,3
137,self_consistency_cot,1434,1002,2436,13,3
138,self_consistency_cot,1413,1187,2600,13,3
139,self_consistency_cot,1320,739,2059,13,3
140,self_consistency_cot,1428,1923,3351,13,3
141,self_consistency_cot,1593,1543,3136,14,3
142,self_consistency_cot,1371,1329,2700,14,3
143,self_consistency_cot,1332,1163,2495,14,3
144,self_consistency_cot,1413,1154,2567,14,3
145,self_consistency_cot,1509,1175,2684,14,3
146,self_consistency_cot,1347,1411,2758,14,3
147,self_consistency_cot,1629,1785,3414,14,3
148,self_consistency_cot,1683,1198,2881,14,3
149,self_consistency_cot,1716,1668,3384,14,3
150,self_consistency_cot,1425,1343,2768,14,3
151,self_consistency_cot,1401,1017,2418,15,3
152,self_consistency_cot,1806,1721,3527,15,3
153,self_consistency_cot,1383,1081,2464,15,3
154,self_consistency_cot,1308,1330,2638,15,3
155,self_consistency_cot,1509,1282,2791,15,3
156,self_consistency_cot,1353,1012,2365,15,3
157,self_consistency_cot,1335,1395,2730,15,3
158,self_consistency_cot,1494,1375,2869,15,3
159,self_consistency_cot,1950,1770,3720,15,3
160,self_consistency_cot,1512,953,2465,15,3
161,self_consistency_cot,1320,1375,2695,16,3
162,self_consistency_cot,1335,685,2020,16,3
163,self_consistency_cot,1356,1248,2604,16,3
164,self_consistency_cot,1554,899,2453,16,3
165,self_consistency_cot,1485,1236,2721,16,3
166,self_consistency_cot,1470,1568,3038,16,3
167,self_consistency_cot,1467,1512,2979,16,3
168,self_consistency_cot,1323,963,2286,16,3
169,self_consistency_cot,1470,1097,2567,16,3
170,self_consistency_cot,1548,1542,3090,16,3
171,self_consistency_cot,1311,651,1962,17,3
