task_id,method,input_tokens,output_tokens,total_tokens,batch_index
1,least_to_most,661,441,1102,0
2,least_to_most,483,337,820,0
3,least_to_most,498,223,721,0
4,least_to_most,489,521,1010,0
5,least_to_most,583,230,813,0
6,least_to_most,510,439,949,0
7,least_to_most,475,383,858,0
8,least_to_most,475,293,768,0
9,least_to_most,512,318,830,0
10,least_to_most,476,356,832,0
11,least_to_most,555,299,854,1
12,least_to_most,462,577,1039,1
13,least_to_most,489,438,927,1
14,least_to_most,466,335,801,1
15,least_to_most,473,330,803,1
16,least_to_most,517,326,843,1
17,least_to_most,462,193,655,1
18,least_to_most,741,329,1070,1
19,least_to_most,482,211,693,1
20,least_to_most,548,534,1082,1
21,least_to_most,494,765,1259,2
22,least_to_most,533,393,926,2
23,least_to_most,508,392,900,2
24,least_to_most,534,533,1067,2
25,least_to_most,510,435,945,2
26,least_to_most,497,422,919,2
27,least_to_most,479,348,827,2
28,least_to_most,526,524,1050,2
29,least_to_most,546,407,953,2
30,least_to_most,580,322,902,2
31,least_to_most,625,547,1172,3
32,least_to_most,575,581,1156,3
33,least_to_most,527,383,910,3
34,least_to_most,571,407,978,3
35,least_to_most,462,196,658,3
36,least_to_most,514,425,939,3
37,least_to_most,514,491,1005,3
38,least_to_most,513,342,855,3
39,least_to_most,671,374,1045,3
40,least_to_most,483,345,828,3
41,least_to_most,485,352,837,4
42,least_to_most,470,325,795,4
43,least_to_most,501,309,810,4
44,least_to_most,497,266,763,4
45,least_to_most,555,432,987,4
46,least_to_most,476,394,870,4
47,least_to_most,545,843,1388,4
48,least_to_most,522,503,1025,4
49,least_to_most,468,366,834,4
50,least_to_most,507,394,901,4
51,least_to_most,478,339,817,5
52,least_to_most,468,328,796,5
53,least_to_most,484,359,843,5
54,least_to_most,587,350,937,5
55,least_to_most,480,389,869,5
56,least_to_most,521,275,796,5
57,least_to_most,508,501,1009,5
58,least_to_most,464,397,861,5
59,least_to_most,464,233,697,5
60,least_to_most,606,515,1121,5
61,least_to_most,545,464,1009,6
62,least_to_most,453,319,772,6
63,least_to_most,485,434,919,6
64,least_to_most,507,537,1044,6
65,least_to_most,519,297,816,6
66,least_to_most,485,255,740,6
67,least_to_most,569,219,788,6
68,least_to_most,514,358,872,6
69,least_to_most,617,452,1069,6
70,least_to_most,541,376,917,6
71,least_to_most,596,375,971,7
72,least_to_most,471,359,830,7
73,least_to_most,467,469,936,7
74,least_to_most,661,394,1055,7
75,least_to_most,487,488,975,7
76,least_to_most,520,346,866,7
77,least_to_most,460,180,640,7
78,least_to_most,534,337,871,7
79,least_to_most,491,266,757,7
80,least_to_most,478,214,692,7
81,least_to_most,512,529,1041,8
82,least_to_most,473,267,740,8
83,least_to_most,546,339,885,8
84,least_to_most,489,241,730,8
85,least_to_most,474,257,731,8
86,least_to_most,472,269,741,8
87,least_to_most,497,622,1119,8
88,least_to_most,474,512,986,8
89,least_to_most,455,208,663,8
90,least_to_most,487,339,826,8
91,least_to_most,475,451,926,9
92,least_to_most,511,457,968,9
93,least_to_most,498,1024,1522,9
94,least_to_most,486,349,835,9
95,least_to_most,475,477,952,9
96,least_to_most,480,293,773,9
97,least_to_most,534,370,904,9
98,least_to_most,480,341,821,9
99,least_to_most,466,552,1018,9
100,least_to_most,511,333,844,9
101,least_to_most,525,546,1071,10
102,least_to_most,486,372,858,10
103,least_to_most,541,379,920,10
104,least_to_most,484,535,1019,10
105,least_to_most,450,273,723,10
106,least_to_most,479,363,842,10
107,least_to_most,584,627,1211,10
108,least_to_most,526,701,1227,10
109,least_to_most,496,284,780,10
110,least_to_most,545,677,1222,10
111,least_to_most,483,475,958,11
112,least_to_most,463,324,787,11
113,least_to_most,567,369,936,11
114,least_to_most,489,504,993,11
115,least_to_most,469,190,659,11
116,least_to_most,475,411,886,11
117,least_to_most,537,392,929,11
118,least_to_most,474,303,777,11
119,least_to_most,481,399,880,11
120,least_to_most,484,361,845,11
121,least_to_most,545,491,1036,12
122,least_to_most,611,222,833,12
123,least_to_most,640,409,1049,12
124,least_to_most,482,400,882,12
125,least_to_most,553,386,939,12
126,least_to_most,496,393,889,12
127,least_to_most,521,278,799,12
128,least_to_most,499,314,813,12
129,least_to_most,640,654,1294,12
130,least_to_most,514,435,949,12
131,least_to_most,571,412,983,13
132,least_to_most,470,293,763,13
133,least_to_most,495,336,831,13
134,least_to_most,531,379,910,13
135,least_to_most,464,186,650,13
136,least_to_most,631,360,991,13
137,least_to_most,512,390,902,13
138,least_to_most,505,409,914,13
139,least_to_most,474,281,755,13
140,least_to_most,510,621,1131,13
141,least_to_most,565,420,985,14
142,least_to_most,491,508,999,14
143,least_to_most,478,297,775,14
144,least_to_most,505,378,883,14
145,least_to_most,537,398,935,14
146,least_to_most,483,526,1009,14
147,least_to_most,577,551,1128,14
148,least_to_most,595,408,1003,14
149,least_to_most,606,383,989,14
150,least_to_most,509,482,991,14
151,least_to_most,501,319,820,15
152,least_to_most,636,458,1094,15
153,least_to_most,495,473,968,15
154,least_to_most,470,329,799,15
155,least_to_most,537,296,833,15
156,least_to_most,485,312,797,15
157,least_to_most,479,450,929,15
158,least_to_most,532,437,969,15
159,least_to_most,684,321,1005,15
160,least_to_most,538,316,854,15
161,least_to_most,474,471,945,16
162,least_to_most,479,184,663,16
163,least_to_most,486,267,753,16
164,least_to_most,552,294,846,16
165,least_to_most,529,438,967,16
166,least_to_most,524,432,956,16
167,least_to_most,523,1015,1538,16
168,least_to_most,475,305,780,16
169,least_to_most,524,221,745,16
170,least_to_most,550,482,1032,16
171,least_to_most,471,208,679,17
172,least_to_most,516,332,848,17
173,least_to_most,477,757,1234,17
174,least_to_most,484,349,833,17
175,least_to_most,552,755,1307,17
176,least_to_most,473,398,871,17
177,least_to_most,477,384,861,17
178,least_to_most,497,318,815,17
179,least_to_most,628,320,948,17
180,least_to_most,524,576,1100,17
181,least_to_most,626,341,967,18
182,least_to_most,566,757,1323,18
183,least_to_most,522,503,1025,18
184,least_to_most,475,300,775,18
185,least_to_most,499,443,942,18
186,least_to_most,496,313,809,18
187,least_to_most,572,476,1048,18
188,least_to_most,520,266,786,18
189,least_to_most,608,486,1094,18
190,least_to_most,495,379,874,18
191,least_to_most,503,429,932,19
192,least_to_most,515,271,786,19
193,least_to_most,470,321,791,19
194,least_to_most,555,808,1363,19
195,least_to_most,546,399,945,19
196,least_to_most,481,477,958,19
197,least_to_most,502,397,899,19
198,least_to_most,510,356,866,19
199,least_to_most,519,413,932,19
200,least_to_most,492,456,948,19
201,least_to_most,461,271,732,20
202,least_to_most,503,519,1022,20
203,least_to_most,506,358,864,20
204,least_to_most,490,296,786,20
205,least_to_most,483,360,843,20
206,least_to_most,492,337,829,20
207,least_to_most,634,501,1135,20
208,least_to_most,505,581,1086,20
209,least_to_most,483,346,829,20
210,least_to_most,508,859,1367,20
211,least_to_most,482,360,842,21
212,least_to_most,500,296,796,21
213,least_to_most,502,334,836,21
214,least_to_most,472,293,765,21
215,least_to_most,520,390,910,21
216,least_to_most,511,428,939,21
217,least_to_most,503,345,848,21
218,least_to_most,496,334,830,21
219,least_to_most,539,519,1058,21
220,least_to_most,478,352,830,21
