task_id,method,input_tokens,output_tokens,total_tokens,batch_index
1,zero_shot,298,376,674,0
2,zero_shot,144,290,434,0
3,zero_shot,157,195,352,0
4,zero_shot,142,218,360,0
5,zero_shot,232,229,461,0
6,zero_shot,160,1024,1184,0
7,zero_shot,137,1024,1161,0
8,zero_shot,132,205,337,0
9,zero_shot,171,1024,1195,0
10,zero_shot,136,275,411,0
11,zero_shot,207,1024,1231,1
12,zero_shot,126,356,482,1
13,zero_shot,144,264,408,1
14,zero_shot,133,272,405,1
15,zero_shot,134,1024,1158,1
16,zero_shot,161,203,364,1
17,zero_shot,125,148,273,1
18,zero_shot,306,427,733,1
19,zero_shot,135,198,333,1
20,zero_shot,198,179,377,1
21,zero_shot,145,264,409,2
22,zero_shot,166,272,438,2
23,zero_shot,163,1024,1187,2
24,zero_shot,187,1024,1211,2
25,zero_shot,166,363,529,2
26,zero_shot,153,250,403,2
27,zero_shot,144,288,432,2
28,zero_shot,171,1024,1195,2
29,zero_shot,190,357,547,2
30,zero_shot,213,232,445,2
31,zero_shot,252,853,1105,3
32,zero_shot,215,1024,1239,3
33,zero_shot,182,1024,1206,3
34,zero_shot,227,1024,1251,3
35,zero_shot,125,176,301,3
36,zero_shot,166,1024,1190,3
37,zero_shot,165,312,477,3
38,zero_shot,170,322,492,3
39,zero_shot,298,417,715,3
40,zero_shot,137,300,437,3
41,zero_shot,136,196,332,4
42,zero_shot,136,242,378,4
43,zero_shot,157,193,350,4
44,zero_shot,153,181,334,4
45,zero_shot,197,329,526,4
46,zero_shot,137,293,430,4
47,zero_shot,197,1024,1221,4
48,zero_shot,177,1024,1201,4
49,zero_shot,131,290,421,4
50,zero_shot,156,1024,1180,4
51,zero_shot,136,208,344,5
52,zero_shot,127,188,315,5
53,zero_shot,145,183,328,5
54,zero_shot,222,387,609,5
55,zero_shot,137,1024,1161,5
56,zero_shot,178,1024,1202,5
57,zero_shot,161,609,770,5
58,zero_shot,131,194,325,5
59,zero_shot,129,183,312,5
60,zero_shot,232,1024,1256,5
61,zero_shot,199,1024,1223,6
62,zero_shot,119,265,384,6
63,zero_shot,143,1024,1167,6
64,zero_shot,160,210,370,6
65,zero_shot,159,235,394,6
66,zero_shot,147,182,329,6
67,zero_shot,223,272,495,6
68,zero_shot,171,237,408,6
69,zero_shot,224,648,872,6
70,zero_shot,193,225,418,6
71,zero_shot,227,243,470,7
72,zero_shot,136,139,275,7
73,zero_shot,132,1024,1156,7
74,zero_shot,276,306,582,7
75,zero_shot,146,318,464,7
76,zero_shot,180,224,404,7
77,zero_shot,128,233,361,7
78,zero_shot,189,1024,1213,7
79,zero_shot,150,193,343,7
