batch_index,method,sum_input_tokens,sum_output_tokens,sum_total_tokens,avg_input_tokens,avg_output_tokens,avg_total_tokens,min_total_tokens,max_total_tokens,tasks_in_batch,batch_start,batch_end
1,least_to_most,4926,3688,8614,492.6,368.8,861.4,690,1182,10,1,10
2,least_to_most,4936,3195,8131,493.6,319.5,813.1,643,981,10,11,20
3,least_to_most,4955,3966,8921,495.5,396.6,892.1,763,1085,10,21,30
4,least_to_most,5219,3859,9078,521.9,385.9,907.8,652,1107,10,31,40
5,least_to_most,4791,3370,8161,479.1,337.0,816.1,667,967,10,41,50
6,least_to_most,4822,4360,9182,482.2,436.0,918.2,658,1524,10,51,60
7,least_to_most,4980,3876,8856,498.0,387.6,885.6,715,1090,10,61,70
8,least_to_most,4921,3836,8757,492.1,383.6,875.7,688,1166,10,71,80
9,least_to_most,4641,2979,7620,464.1,297.9,762.0,679,952,10,81,90
10,least_to_most,4677,3749,8426,467.7,374.9,842.6,697,1259,10,91,100
11,least_to_most,4877,3410,8287,487.7,341.0,828.7,650,927,10,101,110
12,least_to_most,4694,3890,8584,469.4,389.0,858.4,690,1092,10,111,120
13,least_to_most,5238,4212,9450,523.8,421.2,945.0,740,1547,10,121,130
14,least_to_most,4916,3640,8556,491.6,364.0,855.6,689,1034,10,131,140
15,least_to_most,5072,3874,8946,507.2,387.4,894.6,661,1174,10,141,150
16,least_to_most,5111,4275,9386,511.1,427.5,938.6,719,1340,10,151,160
17,least_to_most,4853,3514,8367,485.3,351.4,836.7,667,1033,10,161,170
18,least_to_most,4852,3637,8489,485.2,363.7,848.9,678,1047,10,171,180
19,least_to_most,5122,4191,9313,512.2,419.1,931.3,827,1116,10,181,190
20,least_to_most,4866,3321,8187,486.6,332.1,818.7,713,905,10,191,200
21,least_to_most,4824,4269,9093,482.4,426.9,909.3,671,1509,10,201,210
22,least_to_most,4775,3394,8169,477.5,339.4,816.9,641,1006,10,211,220
23,least_to_most,4976,3669,8645,497.6,366.9,864.5,657,1117,10,221,230
24,least_to_most,5047,3785,8832,504.7,378.5,883.2,684,1120,10,231,240
25,least_to_most,5070,3534,8604,507.0,353.4,860.4,684,1130,10,241,250
26,least_to_most,4652,3699,8351,465.2,369.9,835.1,721,969,10,251,260
27,least_to_most,4597,3294,7891,459.7,329.4,789.1,656,974,10,261,270
28,least_to_most,4720,4342,9062,472.0,434.2,906.2,673,1513,10,271,280
29,least_to_most,4882,3811,8693,488.2,381.1,869.3,673,1209,10,281,290
30,least_to_most,4851,3695,8546,485.1,369.5,854.6,648,1042,10,291,300
31,least_to_most,4983,4677,9660,498.3,467.7,966.0,724,1133,10,301,310
32,least_to_most,5094,3434,8528,509.4,343.4,852.8,671,1055,10,311,320
33,least_to_most,5029,3978,9007,502.9,397.8,900.7,756,1174,10,321,330
34,least_to_most,4756,3632,8388,475.6,363.2,838.8,706,978,10,331,340
35,least_to_most,5078,3633,8711,507.8,363.3,871.1,741,1226,10,341,350
36,least_to_most,4751,3391,8142,475.1,339.1,814.2,691,947,10,351,360
37,least_to_most,4893,4595,9488,489.3,459.5,948.8,691,1483,10,361,370
38,least_to_most,4853,3654,8507,485.3,365.4,850.7,689,965,10,371,380
39,least_to_most,5142,4236,9378,514.2,423.6,937.8,731,1157,10,381,390
40,least_to_most,4902,3610,8512,490.2,361.0,851.2,771,932,10,391,400
41,least_to_most,5088,3757,8845,508.8,375.7,884.5,687,1034,10,401,410
42,least_to_most,4852,3474,8326,485.2,347.4,832.6,710,1021,10,411,420
43,least_to_most,5028,3618,8646,502.8,361.8,864.6,709,1130,10,421,430
44,least_to_most,4707,3256,7963,470.7,325.6,796.3,689,958,10,431,440
45,least_to_most,4805,3343,8148,480.5,334.3,814.8,720,938,10,441,450
46,least_to_most,4775,3226,8001,477.5,322.6,800.1,685,963,10,451,460
47,least_to_most,5336,3560,8896,533.6,356.0,889.6,670,1214,10,461,470
48,least_to_most,4659,4145,8804,465.9,414.5,880.4,659,1561,10,471,480
49,least_to_most,5098,4389,9487,509.8,438.9,948.7,769,1559,10,481,490
50,least_to_most,5157,3737,8894,515.7,373.7,889.4,623,1396,10,491,500
51,least_to_most,5085,3284,8369,508.5,328.4,836.9,700,1058,10,501,510
52,least_to_most,5115,3645,8760,511.5,364.5,876.0,728,1105,10,511,520
53,least_to_most,5237,3027,8264,523.7,302.7,826.4,659,1080,10,521,530
54,least_to_most,4877,3569,8446,487.7,356.9,844.6,662,1132,10,531,540
55,least_to_most,5160,4246,9406,516.0,424.6,940.6,730,1332,10,541,550
56,least_to_most,4753,3788,8541,475.3,378.8,854.1,626,1121,10,551,560
57,least_to_most,4623,3466,8089,462.3,346.6,808.9,672,999,10,561,570
58,least_to_most,5010,3759,8769,501.0,375.9,876.9,764,1099,10,571,580
59,least_to_most,4641,3464,8105,464.1,346.4,810.5,548,1083,10,581,590
60,least_to_most,5012,4474,9486,501.2,447.4,948.6,710,1481,10,591,600
61,least_to_most,4954,3468,8422,495.4,346.8,842.2,676,1108,10,601,610
62,least_to_most,4760,3704,8464,476.0,370.4,846.4,713,1105,10,611,620
63,least_to_most,5061,3846,8907,506.1,384.6,890.7,684,1097,10,621,630
64,least_to_most,4786,3153,7939,478.6,315.3,793.9,716,846,10,631,640
65,least_to_most,4754,3859,8613,475.4,385.9,861.3,701,972,10,641,650
66,least_to_most,4832,3366,8198,483.2,336.6,819.8,715,969,10,651,660
67,least_to_most,5035,3376,8411,503.5,337.6,841.1,709,1139,10,661,670
