task_id,method,input_tokens,output_tokens,total_tokens,batch_index
1,few_shot,571,338,909,0
2,few_shot,417,250,667,0
3,few_shot,432,154,586,0
4,few_shot,418,300,718,0
5,few_shot,506,189,695,0
6,few_shot,437,233,670,0
7,few_shot,411,287,698,0
8,few_shot,406,197,603,0
9,few_shot,447,213,660,0
10,few_shot,411,355,766,0
11,few_shot,482,284,766,1
12,few_shot,400,288,688,1
13,few_shot,417,233,650,1
14,few_shot,407,226,633,1
15,few_shot,408,216,624,1
16,few_shot,436,162,598,1
17,few_shot,400,124,524,1
18,few_shot,580,233,813,1
19,few_shot,408,174,582,1
20,few_shot,474,193,667,1
21,few_shot,419,225,644,2
22,few_shot,441,245,686,2
23,few_shot,438,291,729,2
24,few_shot,461,157,618,2
25,few_shot,439,322,761,2
26,few_shot,427,257,684,2
27,few_shot,417,245,662,2
28,few_shot,446,203,649,2
29,few_shot,468,333,801,2
30,few_shot,493,283,776,2
31,few_shot,525,333,858,3
32,few_shot,491,275,766,3
33,few_shot,458,174,632,3
34,few_shot,500,228,728,3
35,few_shot,399,126,525,3
36,few_shot,442,235,677,3
37,few_shot,441,262,703,3
38,few_shot,444,176,620,3
39,few_shot,573,1024,1597,3
40,few_shot,411,285,696,3
41,few_shot,411,204,615,4
42,few_shot,410,245,655,4
43,few_shot,430,124,554,4
44,few_shot,428,176,604,4
45,few_shot,472,256,728,4
46,few_shot,411,187,598,4
47,few_shot,473,194,667,4
48,few_shot,452,163,615,4
49,few_shot,405,316,721,4
50,few_shot,430,213,643,4
51,few_shot,411,187,598,5
52,few_shot,403,190,593,5
53,few_shot,419,146,565,5
54,few_shot,496,314,810,5
55,few_shot,411,182,593,5
56,few_shot,450,154,604,5
57,few_shot,436,269,705,5
58,few_shot,406,205,611,5
59,few_shot,404,152,556,5
60,few_shot,507,223,730,5
61,few_shot,474,218,692,6
62,few_shot,392,174,566,6
63,few_shot,416,240,656,6
64,few_shot,434,220,654,6
65,few_shot,434,172,606,6
66,few_shot,421,193,614,6
67,few_shot,496,193,689,6
68,few_shot,447,209,656,6
69,few_shot,499,361,860,6
70,few_shot,466,269,735,6
71,few_shot,501,311,812,7
72,few_shot,411,156,567,7
73,few_shot,405,213,618,7
74,few_shot,551,328,879,7
75,few_shot,419,302,721,7
76,few_shot,454,226,680,7
77,few_shot,402,139,541,7
78,few_shot,468,193,661,7
79,few_shot,424,170,594,7
80,few_shot,415,191,606,7
81,few_shot,436,325,761,8
82,few_shot,407,114,521,8
83,few_shot,468,251,719,8
84,few_shot,422,174,596,8
85,few_shot,408,132,540,8
86,few_shot,410,191,601,8
87,few_shot,428,299,727,8
88,few_shot,405,239,644,8
89,few_shot,395,162,557,8
90,few_shot,419,227,646,8
91,few_shot,415,212,627,9
92,few_shot,440,171,611,9
93,few_shot,426,276,702,9
94,few_shot,415,223,638,9
95,few_shot,407,161,568,9
96,few_shot,417,166,583,9
97,few_shot,460,269,729,9
98,few_shot,412,191,603,9
99,few_shot,402,264,666,9
100,few_shot,435,211,646,9
101,few_shot,450,287,737,10
102,few_shot,413,180,593,10
103,few_shot,460,202,662,10
104,few_shot,417,324,741,10
105,few_shot,390,146,536,10
106,few_shot,410,239,649,10
107,few_shot,497,195,692,10
108,few_shot,439,335,774,10
109,few_shot,433,228,661,10
110,few_shot,457,491,948,10
111,few_shot,412,266,678,11
112,few_shot,398,125,523,11
113,few_shot,475,196,671,11
114,few_shot,419,296,715,11
115,few_shot,408,147,555,11
116,few_shot,406,181,587,11
117,few_shot,451,334,785,11
118,few_shot,404,177,581,11
119,few_shot,414,243,657,11
120,few_shot,416,257,673,11
121,few_shot,475,376,851,12
122,few_shot,504,171,675,12
123,few_shot,545,257,802,12
124,few_shot,411,326,737,12
125,few_shot,466,208,674,12
126,few_shot,431,265,696,12
127,few_shot,445,209,654,12
128,few_shot,426,223,649,12
129,few_shot,535,243,778,12
130,few_shot,435,198,633,12
131,few_shot,474,241,715,13
132,few_shot,403,184,587,13
133,few_shot,423,220,643,13
134,few_shot,459,272,731,13
135,few_shot,400,172,572,13
136,few_shot,528,179,707,13
137,few_shot,440,215,655,13
138,few_shot,430,167,597,13
139,few_shot,411,144,555,13
140,few_shot,435,230,665,13
141,few_shot,465,337,802,14
142,few_shot,423,243,666,14
143,few_shot,408,160,568,14
144,few_shot,437,276,713,14
145,few_shot,458,313,771,14
146,few_shot,407,159,566,14
147,few_shot,487,366,853,14
148,few_shot,499,248,747,14
149,few_shot,498,274,772,14
150,few_shot,441,217,658,14
151,few_shot,430,247,677,15
152,few_shot,535,287,822,15
153,few_shot,432,199,631,15
154,few_shot,405,252,657,15
155,few_shot,464,179,643,15
156,few_shot,416,225,641,15
157,few_shot,414,1024,1438,15
158,few_shot,460,428,888,15
159,few_shot,578,243,821,15
160,few_shot,465,244,709,15
161,few_shot,412,341,753,16
162,few_shot,413,131,544,16
163,few_shot,419,229,648,16
164,few_shot,474,187,661,16
165,few_shot,453,222,675,16
166,few_shot,452,238,690,16
167,few_shot,455,168,623,16
168,few_shot,414,284,698,16
169,few_shot,448,220,668,16
170,few_shot,440,334,774,16
171,few_shot,406,147,553,17
172,few_shot,444,183,627,17
173,few_shot,414,260,674,17
174,few_shot,415,267,682,17
175,few_shot,471,262,733,17
176,few_shot,399,207,606,17
177,few_shot,413,180,593,17
178,few_shot,424,264,688,17
179,few_shot,513,163,676,17
180,few_shot,446,305,751,17
181,few_shot,526,259,785,18
182,few_shot,462,411,873,18
183,few_shot,448,296,744,18
184,few_shot,408,252,660,18
185,few_shot,437,211,648,18
186,few_shot,424,250,674,18
187,few_shot,490,257,747,18
188,few_shot,446,1024,1470,18
189,few_shot,523,269,792,18
190,few_shot,430,261,691,18
191,few_shot,435,183,618,19
192,few_shot,440,213,653,19
193,few_shot,403,283,686,19
194,few_shot,474,186,660,19
195,few_shot,478,309,787,19
196,few_shot,412,356,768,19
197,few_shot,433,317,750,19
198,few_shot,440,157,597,19
199,few_shot,451,233,684,19
200,few_shot,422,276,698,19
201,few_shot,398,151,549,20
202,few_shot,435,190,625,20
203,few_shot,444,203,647,20
204,few_shot,425,239,664,20
205,few_shot,411,260,671,20
206,few_shot,418,239,657,20
207,few_shot,528,243,771,20
208,few_shot,428,223,651,20
209,few_shot,414,316,730,20
210,few_shot,427,226,653,20
211,few_shot,418,163,581,21
212,few_shot,435,147,582,21
213,few_shot,427,253,680,21
214,few_shot,406,161,567,21
215,few_shot,445,218,663,21
216,few_shot,444,280,724,21
217,few_shot,432,220,652,21
218,few_shot,431,265,696,21
219,few_shot,455,475,930,21
220,few_shot,410,308,718,21
221,few_shot,413,206,619,22
222,few_shot,425,186,611,22
223,few_shot,551,440,991,22
224,few_shot,424,174,598,22
225,few_shot,471,374,845,22
226,few_shot,425,187,612,22
227,few_shot,444,233,677,22
228,few_shot,470,263,733,22
229,few_shot,453,374,827,22
230,few_shot,403,172,575,22
231,few_shot,598,209,807,23
232,few_shot,409,366,775,23
233,few_shot,421,186,607,23
234,few_shot,400,142,542,23
235,few_shot,455,179,634,23
236,few_shot,485,187,672,23
237,few_shot,423,316,739,23
238,few_shot,417,151,568,23
239,few_shot,518,237,755,23
240,few_shot,408,420,828,23
241,few_shot,427,401,828,24
242,few_shot,413,168,581,24
243,few_shot,443,387,830,24
244,few_shot,422,198,620,24
245,few_shot,591,282,873,24
246,few_shot,466,180,646,24
247,few_shot,552,262,814,24
248,few_shot,418,156,574,24
249,few_shot,413,242,655,24
250,few_shot,424,251,675,24
251,few_shot,408,281,689,25
252,few_shot,404,172,576,25
253,few_shot,420,201,621,25
254,few_shot,407,217,624,25
255,few_shot,408,227,635,25
256,few_shot,452,155,607,25
257,few_shot,405,186,591,25
258,few_shot,415,198,613,25
259,few_shot,442,278,720,25
260,few_shot,429,226,655,25
261,few_shot,427,342,769,26
262,few_shot,405,241,646,26
263,few_shot,404,328,732,26
264,few_shot,439,178,617,26
265,few_shot,404,202,606,26
266,few_shot,410,134,544,26
267,few_shot,404,155,559,26
268,few_shot,407,146,553,26
269,few_shot,396,158,554,26
270,few_shot,448,275,723,26
271,few_shot,441,165,606,27
272,few_shot,407,316,723,27
273,few_shot,427,305,732,27
274,few_shot,418,212,630,27
275,few_shot,480,434,914,27
